study_arm,TrialID,url,Scientific_title,Conditions,Date_enrollment_format,control_arm,randomisation,blinding,subject_blind,caregiver_blind,investigator_blind,outcome_blind,analyst_blind,prospective,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,multicentre,primary_purpose,sponsor_type,sample_size,vaccine,conventional,traditional,Bridging_flag,Study_design,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor,Interventions
main,NCT04022928,https://clinicaltrials.gov/show/NCT04022928,Efficacy and Safety of a Single Intraarticular Injection of Platelet-Rich Plasma on Pain and Physical Function in Patients With Ankle Osteoarthritis—a Prospective Study,Ankle Osteoarthritis,2018-07-01,No,No,No,No,No,No,No,No,No,CT.gov,Unreported,No,No,No,Yes,No,No,NA,Treatment,non_industry,44,NA,NA,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-07-11,N/A,A Single Intraarticular Injection of Platelet-Rich Plasma on Pain and Physical Function in Patients With Ankle OA,Taiwan,Kaohsiung Veterans General Hospital.,Other: PRP
main,NCT03899805,https://clinicaltrials.gov/show/NCT03899805,A Phase II Study of Eribulin and Pembrolizumab in Soft Tissue Sarcomas,Sarcoma;Liposarcoma;Leiomyosarcoma;Undifferentiated Pleomorphic Sarcoma,2019-05-13,Yes,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Treatment,non_industry,57,NA,Yes,NA,FALSE,Allocation: Non-Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-04-01,Phase 2,A Phase II Study of Eribulin and Pembrolizumab in Soft Tissue Sarcomas,United States,Dana-Farber Cancer Institute,Drug: Eribulin;Drug: Pembrolizumab
main,NCT04078386,https://clinicaltrials.gov/show/NCT04078386,"A Phase II Study of RC18, a Recombinant Human B Lymphocyte Stimulator Receptor:Immunoglobulin G( IgG ) Fc Fusion Protein for Injection for the Treatment of Subjects With Primary Sjögren's Syndrome",Primary Sjögren's Syndrome,2019-06-28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,CT.gov,Phase 2,No,No,No,Yes,No,No,NA,Treatment,NA,30,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,2019-07-18,Phase 2,A Study of TACI-antibody Fusion Protein Injection (RC18) in Subjects With Primary Sjögren's Syndrome,China,RemeGen,Biological: Placebo;Biological: RC18 240 mg;Biological: RC18 160 mg
main,NCT03801915,https://clinicaltrials.gov/show/NCT03801915,"Perioperative MVT-5873, a Fully Human Monoclonal Antibody Against a CA 19-9 Epitope, for Operable CA 19-9 Producing Pancreatic Cancers, Cholangiocarcinomas, and Metastatic Colorectal Cancers",Colon Cancer;Pancreatic Cancer;Cholangiocarcinoma;Mestatic Colon Carcinoma;Liver Metastasis,2019-11-13,NA,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Treatment,non_industry,105,NA,NA,NA,FALSE,Allocation: Non-Randomized. Intervention model: Sequential Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-01-11,Phase 2,"Perioperative MVT-5873, a Fully Human Monoclonal Antibody Against a CA 19-9 Epitope, for Operable CA 19-9 Producing Pancreatic Cancers, Cholangiocarcinomas, and Metastatic Colorectal Cancers",United States,National Cancer Institute (NCI),Drug: MVT-5873;Procedure: pancreatectomy or hepatectomy
main,NCT03854344,https://clinicaltrials.gov/show/NCT03854344,Prospective Study of Liposomal Bupivacaine for Pain Control of Split Thickness Skin Graft Donor Sites,"Pain, Postoperative;Burns",2019-03-18,Yes,Yes,Yes,Yes,No,No,No,No,Yes,CT.gov,Phase 4,No,Yes,No,No,No,No,NA,Treatment,non_industry,50,NA,Yes,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Single (Participant).,FALSE,2019-02-08,Phase 4,Liposomal Bupivacaine Versus Lidocaine for Skin Graft Donor Site Pain,United States,University of Kansas Medical Center,Drug: Lidocaine Hydrochloride;Drug: Liposomal bupivacaine
main,NCT03898102,https://clinicaltrials.gov/show/NCT03898102,Zinc Supplement in Metastatic Colorectal Cancer Patients Receiving Regorafenib: Phase II Prospective Randomized Trial,Colorectal Cancer Metastatic,2016-03-01,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,CT.gov,Phase 2,Unreported,Unreported,Unreported,Unreported,Unreported,Unreported,NA,Treatment,non_industry,65,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Triple (Participant, Care Provider, Investigator).",TRUE,2019-03-27,Phase 2,Zinc Supplement in Regorafenib Treated mCRC Patient,NULL,Chang Gung Memorial Hospital,Drug: Regorafenib;Dietary Supplement: Zinc gluconate supplement
main,NCT03797456,https://clinicaltrials.gov/show/NCT03797456,"A Multicenter, Open-label Study to Evaluate the Safety and Efficacy of ICP-022 in Patients With Relapsed/Refractory Marginal Zone Lymphoma (MZL)",MZL,2019-04-01,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,No,No,Yes,No,No,Yes,Treatment,industry,80,NA,NA,NA,FALSE,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-01-07,Phase 2,A Study to Evaluate ICP-022 in Patients With R/R Marginal Zone Lymphoma (MZL),China,"Beijing InnoCare Pharma Tech Co., Ltd.",Drug: ICP-022
main,NCT03803540,https://clinicaltrials.gov/show/NCT03803540,"Fecal Microbiota Transplantation for the Treatment of Non-Alcoholic Steatohepatitis, a Pilot Study.",Non-Alcoholic Fatty Liver Disease;Non Alcoholic Steatohepatitis,2019-05-01,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 1,No,No,No,No,Yes,No,NA,Treatment,non_industry,15,NA,NA,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-01-09,Phase 1,Fecal Microbiota Transplantation for the Treatment of Non-Alcoholic Steatohepatitis,Spain,Puerta de Hierro University Hospital,Other: Fecal Microbiota Transplantation
main,NCT03905837,https://clinicaltrials.gov/show/NCT03905837,Impact of the Administration of Intravenous or Paravertebral Lidocaine in Continuous Perfusion During the Intraoperative Period of Lung Resection Surgery on the Appearance of Postoperative Complications,"Lung Diseases;Lung Inflammation;Lung Injury, Acute;Postoperative Complications",2019-01-28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,CT.gov,Phase 4,No,No,No,No,Yes,No,NA,Prevention,NA,153,NA,Yes,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Prevention. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,2019-03-26,Phase 4,Impact of Lidocaine Administration on Postoperative Complications During Lung Resection Surgery,Spain,Francisco Andres de la Gala,Drug: Lidocaine;Drug: Remifentanil
main,NCT03799601,https://clinicaltrials.gov/show/NCT03799601,"A Single Arm, Multi-center Study to Assess the Efficacy and Safety of Docetaxel Combined With Carboplatin Plus Anlotinib as First Line Treatment in Non-squamous Non-small-cell Lung Cancer (NSCLC)",NSCLC,2019-03-01,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 4,No,No,No,Yes,No,No,Yes,Treatment,non_industry,45,NA,NA,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-01-08,Phase 4,Docetaxel Combined With Carboplatin Plus Anlotinib as First Line Treatment in NSCLC,China,Tongji Hospital,Drug: Anlotinib;Drug: Docetaxel;Drug: Carboplatin
main,NCT03837938,https://clinicaltrials.gov/show/NCT03837938,Multicenter Open-label Randomized Clinical Trial of the Efficacy and Safety of Levopront® Syrup 30 mg/5 ml in Comparison With Libexin® 100 mg Tablets in Patients With Dry Non-productive Cough Caused by Acute Upper Respiratory Infection,Cough,2016-11-09,Yes,Yes,No,No,No,No,No,No,No,CT.gov,Phase 3,No,No,No,No,Yes,No,Yes,Treatment,industry,184,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-01-28,Phase 3,Clinical Trial of Efficacy and Safety of Levopront® 30 mg/5 ml in Patients With Dry Cough,Russian Federation,Dompé Farmaceutici S.p.A,Drug: Levopront® syrup 30 mg/5 ml;Drug: Libexin®
main,NCT03973177,https://clinicaltrials.gov/show/NCT03973177,"Phenol Neurolysis of Genicular Nerves for Chronic Knee Pain Following Total Knee Arthroplasty: a Pilot Prospective, Randomized, Crossover Trial","Pain, Chronic",2019-05-24,Yes,Yes,No,No,No,No,No,No,No,CT.gov,Phase 4,No,Yes,No,No,No,No,NA,Treatment,non_industry,40,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-05-28,Phase 4,Phenol Neurolysis of Genicular Nerves for Chronic Knee Pain,United States,Northwestern University,Drug: Phenol Injection;Drug: Methylprednisolone Injection
main,NCT04162340,https://clinicaltrials.gov/show/NCT04162340,CD4-specific CAR T Cells (CD4 CAR T Cells) for Relapsed/Refractory T Cell Malignancies,T Cell Lymphoma in Relapse;Refractory T-Cell Lymphoma,2019-07-11,NA,No,No,No,No,No,No,No,No,CT.gov,Phase 1,No,No,No,Yes,No,No,NA,Treatment,industry,12,NA,NA,NA,FALSE,Intervention model: Sequential Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-11-11,Phase 1,CD4-specific CAR T Cells (CD4 CAR T Cells) for Relapsed/Refractory T Cell Malignancies,China,iCell Gene Therapeutics,Biological: CD4 CAR T cells
main,NCT04095936,https://clinicaltrials.gov/show/NCT04095936,A Phase 2/3 Study of AMG531 Combined With Ciclosporin A in Patients With Aplastic Anemia Previously Untreated With Immunosuppressive Therapy,Aplastic Anemia,2019-12-03,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 3,No,No,No,Yes,No,No,NA,Treatment,industry,24,NA,NA,NA,JPRN-JapicCTI-194962,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-09-18,Phase 2/Phase 3,Study of AMG531 (Romiplostim) in Patients With Aplastic Anemia,Japan,"Kyowa Kirin Co., Ltd.",Drug: Romiplostim
main,NCT03912532,https://clinicaltrials.gov/show/NCT03912532,"A Phase 2b, Randomized, Double-blind, Placebo-controlled, Multi-center Study to Evaluate the Efficacy, Safety, and Tolerability of Three Doses of NGM282 Administered for 24 Weeks for the Treatment of Histologically Confirmed Nonalcoholic Steatohepatitis (NASH)",NASH - Nonalcoholic Steatohepatitis,2019-04-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,CT.gov,Phase 2,No,Yes,Yes,No,No,No,Yes,Treatment,industry,152,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,2019-04-09,Phase 2,"Evaluation of Efficacy, Safety and Tolerability of Aldafermin in a Phase 2b, Randomized, Double-blind, Placebo-controlled, Multi-center Study In Subjects With Nonalcoholic Steatohepatitis and Stage 2/3 Fibrosis (ALPINE 2/3)",United States;Puerto Rico;United States,"NGM Biopharmaceuticals, Inc",Biological: NGM282;Other: Placebo
main,NCT04061590,https://clinicaltrials.gov/show/NCT04061590,A Phase 2 Study of Neoadjuvant Pembrolizumab-Based Combination Immunotherapy in the Treatment of Early Stage Non-Small Cell Lung Cancer,Lung Non-Small Cell Carcinoma;Stage I Lung Cancer AJCC v8;Stage IA1 Lung Cancer AJCC v8;Stage IA2 Lung Cancer AJCC v8;Stage IA3 Lung Cancer AJCC v8;Stage IB Lung Cancer AJCC v8;Stage II Lung Cancer AJCC v8;Stage IIA Lung Cancer AJCC v8;Stage IIB Lung Cancer AJCC v8;Stage IIIA Lung Cancer AJCC v8,2019-12-21,NA,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Treatment,non_industry,84,NA,Yes,NA,FALSE,Allocation: Non-Randomized. Intervention model: Sequential Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-08-16,Phase 2,Pembrolizumab With or Without Chemotherapy Before Surgery in Treating Patients With Stage I-IIIA Non-Small Cell Lung Cancer,United States,"University of California, San Francisco",Drug: Cisplatin;Biological: Pembrolizumab;Drug: Pemetrexed;Drug: Pemetrexed Disodium;Procedure: Therapeutic Conventional Surgery
main,NCT03998085,https://clinicaltrials.gov/show/NCT03998085,Study of Anlotinib Single Drug as the Maintenance Treatment for Advanced Non-Small Cell Lung Cancer (NSCLC),Non-Small Cell Lung Cancer,2019-03-05,No,No,No,No,No,No,No,No,No,CT.gov,Unreported,No,No,No,Yes,No,No,NA,Treatment,non_industry,40,NA,NA,NA,FALSE,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-06-23,N/A,Anlotinib Single Drug as the Maintenance Treatment for Advanced NSCLC,China,First Hospital of Jilin University,Drug: Anlotinib Hydrochloride
main,NCT03964207,https://clinicaltrials.gov/show/NCT03964207,"A Randomized, Open-label, Two-way Crossover Study to Compare Patient Acceptability/Preference of Tiotropium Respimat® With Tiotropium Handihaler® in Patients With Moderate to Very Severe Chronic Obstructive Pulmonary Disease (COPD).","Pulmonary Disease, Chronic Obstructive",2019-11-25,Yes,Yes,No,No,No,No,No,No,Yes,CT.gov,Phase 4,No,No,No,Yes,No,No,NA,Treatment,industry,71,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-05-24,Phase 4,A Study on Whether Patients Prefer the Spiriva® Respimat® or the Spiriva® Handihaler® for Treating Their Chronic Obstructive Pulmonary Disease (COPD),China,Boehringer Ingelheim,Drug: Tiotropium Respimat® (T1);Drug: Tiotropium Handihaler® (T2)
main,NCT03895879,https://clinicaltrials.gov/show/NCT03895879,"Concentration-guided Dose Reduction Versus Standard Dosing in Tocilizumab-treated Rheumatoid Arthritis Patients: a Randomised, Multicenter, Non-inferiority Trial (TODORA)",Rheumatoid Arthritis,2020-03-01,Yes,Yes,Yes,No,No,No,Yes,No,Yes,CT.gov,Phase 4,No,No,No,No,Yes,No,Yes,Treatment,non_industry,98,NA,Yes,NA,EUCTR2018-004605-57-NL,Allocation: Randomized. Intervention model: Sequential Assignment. Primary purpose: Treatment. Masking: Single (Outcomes Assessor).,FALSE,2019-03-26,Phase 4,Use of Tocilizumab Drug Levels to Optimize Treatment in RA,Netherlands,Reade Rheumatology Research Institute,Drug: Tocilizumab;Drug: Tocilizumab
main,NCT04024800,https://clinicaltrials.gov/show/NCT04024800,A Phase II Clinical Trial of Pembrolizumab in Combination With the AE37 Peptide Vaccine in Patients With Metastatic Triple-Negative Breast Cancer,Triple-negative Breast Cancer,2019-05-03,No,No,No,No,No,No,No,No,No,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Treatment,industry,29,Yes,Yes,NA,FALSE,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-06-25,Phase 2,Establishing the Recommended Biological Dose for AE37 Peptide Vaccine in Combination With Pembrolizumab That Will Enhance the Tumor-specific Immune Response and Demonstrate Efficacy in Patients With Advanced Triple-negative Breast Cancer,United States,"Antigen Express, Inc",Biological: AE37 Peptide vaccine;Biological: Pembrolizumab
main,NCT04191577,https://clinicaltrials.gov/show/NCT04191577,"A Phase II, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study of CVN424 in Parkinson's Disease Patients With Motor Fluctuations",Parkinson Disease,2019-12-02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,Yes,Treatment,industry,66,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,2019-10-30,Phase 2,Study of CVN424 in Parkinson's Disease Patients With Motor Fluctuations,United States,"Cerevance Beta, Inc.",Drug: CVN424 Low Dose;Drug: CVN424 High Dose;Drug: Placebo
