study_arm,TrialID,url,Interventions,vaccine,conventional,traditional
im,ACTRN12618002028280,https://anzctr.org.au/ACTRN12618002028280.aspx,"Two doses of 11.4mg betamethasone by intramuscular injection into the thigh, arm or buttock, 24 hours apart given within seven days of planned caesarean section.",NA,Yes,NA
im,ACTRN12618002041235,https://anzctr.org.au/ACTRN12618002041235.aspx,"A randomized, double-blind, placebo controlled, Phase I study with 33 sero-susceptible individuals aged 18 to 45 years. <br><br>A total of 33 healthy individuals will be enrolled and randomized into 2 groups where each participant will receive a single dose of either CodaVax-H1N1, or placebo (22:11). Participants will receive one 0.1ml into both nostrils (one immediately after the other).<br><br>Twenty-two (22) participants will be administered CodaVax-H1N1 and 11 participants will be administered a placebo. All subjects will receive an intranasal (IN) dose of either CodaVax-H1N1,  or saline (placebo).<br><br>Arm 1: Intranasal dose of CodaVax-H1N1<br>Arm 2: Intranasal dose of Placebo (Saline)<br><br>CodaVax-H1N1 is a potential universal live attenuated influenza vaccine (LAIV) manufactured using a proprietary SAVE platform based on the H1N1 A/California/07/2009 (H1N1) strain. The vaccination dose will be 8 x 10^5 PFU in 200 microlitre of current Good Manufacturing Practice (cGMP) Dulbecco Modified Eagle Medium media and 7.5% sucrose, and is to be administered through an intranasal sprayer into one or both nostrils.<br><br>As the CodaVax-H1N1 dose is 8-times higher than the highest dose administered in the first clinical trial (UTN: U1111-1191-3515), the first 3 participants dosed with CodaVax-H1N1 will be sentinel participants. These participants will be monitored for 60 to 90 minutes immediately following dosing on Day 0 (visit 3), and return for testing on Day 2 (visit 3) and Day 6 (visit 4). If dosing of the sentinels proceeds without clinically significant adverse events (AEs) over 7 days, all remaining participants will be dosed.<br><br>Following vaccination all participants (CodaVax, and placebo) will be monitored at the clinic for at least 60-90 minutes following vaccination, after which they will return to the clinic (Day 2 and 6) to be monitored until Day 6 post-vaccination and on Day 30 post-vaccination for a Follow-up visit.<br><br>A soft-lock will be pla",Yes,NA,NA
im,ACTRN12619000118101,https://anzctr.org.au/ACTRN12619000118101.aspx,"A total of 40 children (aged between 6 months and 9 years of age) will be enrolled into this research study.  After written and informed parental consent, a 3ml blood sample will be collected to determine the baseline anti-haemagglutination antibody titre. The participant will then be administered the Licensed Quadrivalent Seasonal Influenza vaccine according to the Australian Immunisation Handbook (AIH) guidlines. At the last visit, a second 3ml blood sample will be collected for the determination of post-vaccination antibody titres.<br><br>All participants will receive an intramuscular injection of the seasonal licensed southern hemisphere seasonal influenza vaccine according to the Australian Immunisation Handbook recommendation. The World Health Organisation (WHO) provides a recommendation for the composition of the Southern Hemisphere influenza virus vaccines.<br> <br>For Children aged 6 months to up to 3 years of age <br>FluQuadri Junior- Sanofi-Aventis Australia Pty Ltd (quadrivalent inactivated influenza virus). Each 0.25mL pre-filled syringe contains 7.5µg haemagglutinin of each of the four recommended influenza virus strains; 50µg formaldehyde; 125µg octoxinol 9; 0.5µg ovalbumin.<br><br>For Children aged 3 years of age and older<br>FluQuadri – Sanofi-Aventis Australia Pty Ltd (quadrivalent inactivated influenza virus). Each 0.5 mL pre-filled syringe contains 15 µg haemagglutinin of each of the four recommended influenza virus strains; 100 µg formaldehyde; 250 µg octoxinol 9; 1 µg ovalbumin.<br><br>According to the Australian Immunisation Handbook, children aged 6 months to <9 years receiving influenza vaccine for the first time require two doses, at least 4 weeks apart, to maximize the immune response to vaccine strains. For children who have previously received 1 or more doses of trivalent or quadrivalent influenza vaccine, only 1 dose of influenza vaccine is required in the current season and all seasons thereafter. Therefore participants in the study wi",Yes,NA,NA
im,ACTRN12619000256178,https://anzctr.org.au/ACTRN12619000256178.aspx,"Vitamin C: Intravenous infusion of 2.5 g /8 hours will be started as soon as possible, but not later than 72 hours after hospital admission and within 24 hours of the documentation of a community acquired pneumonia CURB-65 severity score >1. <br>Intravenous vitamin C will be provided while the patient is receiving intravenous antimicrobial therapy and will continue until the patient is changed to oral antimicrobial therapy or for a maximum of 7 days. <br>Following the cessation of intravenous vitamin C therapy the patient will receive a further 7 days of oral vitamin C at a dose of 1 g (2 x 500 mg chewable tablets) three times per day. This may be administered via nasogastric tube if the patient cannot swallow.<br>The intravenous infusion of vitamin C will be made up by the attending nurse just prior to administering the agent. Five milliliters of a 500 mg/mL vitamin C IV solution (2.5 g total dose) will be drawn up and added to a 100 mL bag of normal saline and will be administered over a 20-30 minute period. A new solution will be made up and administered every 8 hours while the patient is on intravenous antimicrobial therapy or for a maximum of 7 days.<br>Participants will receive vitamin C for a minimum of 8 days and a maximum of 14 days.",NA,NA,Yes
main,ACTRN12619000305123,https://anzctr.org.au/ACTRN12619000305123.aspx,"Following enrolment (within 1-2 weeks), each subject will be randomised to 12 weeks treatment with capsules containing sitagliptin (100 mg daily) or matching placebo (table salt), in a double-blind parallel design, facilitated by the Royal Adelaide Hospital Pharmacy. During each of weeks 1 and 12, they will attend the laboratory twice for intraduodenal infusion studies, 2-5 days apart.<br>On each study day, a silicone rubber catheter will be inserted through an anaesthetised nostril into the stomach, and be positioned with the infusion port located 12 cm below to the pylorus (in the duodenum). An intravenous cannula will be placed into a vein of each forearm for hyperglycaemic clamping and infusion of the GIP antagonist GIP(3-30)NH2 and blood sampling, respectively.<br>After correct positioning of the intraduodenal catheter, a hyperglycaemic clamp will be maintained at 15 mmol/L from t = 0 to 270 min. This is achieved by intravenous administration of an initial bolus of 25% dextrose, followed by a 25% dextrose infusion at a rate adjusted according to blood glucose concentrations measured every 5 min. Concurrently, a solution of 100 units of insulin, made up to 500 ml with Gelofusine to yield a final concentration of 0.2 IU/ml, will also be infused intravenously at rates according to a sliding scale used in previous similar studies. An IV infusion of the GIP antagonist GIP(3-30)NH2 at the rate of 800 pmol/kg/min, or saline control, will run from t = 30 to 270 min. Intraduodenal glucose will be infused at 2 kcal/min from t = 90 to 190 min.  <br>During the 12 week intervention, subjects will keep a daily diary for study medication, receive a fortnightly telephone call to reinforce compliance and document any adverse effects, and visit our centre in weeks 4 and 8 to return any unused medication, receive the next 4 weeks’ supply and undergo repeated physical examinations and assessment of liver and renal function.<br>",NA,NA,NA
main,ACTRN12619000391178,https://anzctr.org.au/ACTRN12619000391178.aspx,"Test and Reference drugs, in a single oral dose (75 mg) in 2 periods under fasting conditions and 2 periods under food conditions From the signing of the informed consent to the medical discharge<br><br>Test drug: Amfepramone<br>Reference drug: Neobes Amfepramone<br><br>The study includes two designs (fasting and food) with two periods each of approximately 36 hours of internment and a post-discharge sample taking of 48 hours, in each period of both designs. Between each internment there are a period of 2 weeks of washout.<br><br>The study begins with two periods under fasting conditions (2x2x2 design under fasting conditions). After a previous fast of at least 10 hours, the sample of time 0.00 will be obtained. Next, 75 mg of amfepramone will be administered, orally with 250mL of water at room temperature.<br><br>Subsequently, the design of two periods in post-prandial conditions will be continued (2x2x2 design with food). After a previous fast of 10 hours, the sample of time 0.00 will be obtained. Likewise, 30 minutes before dosing, each research subject will receive a standard breakfast; the research subjects will have 30 minutes to finish all the breakfast and immediately afterwards the medication will be administered orally, with 250mL of water.<br><br>Breakfast is high in calories (approximately 923 kcal: 506.19 kcal fat, 241.51 kcal carbohydrate, 175.3 kcal protein) and high in fat (aprosoimadamente 54.8%).<br><br>The staff of the clinical pharmacology center is responsible for the preparation and dispensing of medicines (test or reference) must wear protective glasses, gloves, gown. the medication must always keep its identification label (container label). The study coordinator must verify that the data on the label of the medication container correspond to those of the research subject to whom the medication is delivered. The medical collaborator indicates to the research subjects when they should ingest the medication. The clinical collaborator verifies t",NA,NA,NA
main,ACTRN12619000437167,https://anzctr.org.au/ACTRN12619000437167.aspx,"This study will consist of 2 treatment periods. A popular choice among women of child-bearing potential is a monophasic oral contraceptive combination containing a fixed dose of 3 mg drospirenone (DRSP) and 0.02 mg ethinyl estradiol (EE). The study will be conducted in approximately 32 subjects. In Period 1, healthy female subjects will receive a single dose of DRSP/EE on Day 1, administered as oral tablet, followed by a washout of 5 days. In Period 2, subjects will receive AB-506 400 mg, administered as oral tablet, once daily for 13 days, with a single oral dose of DRSP/EE (same dose as Day 1) co-administered on Day 15. The duration of the study will be approximately 7 weeks, including the screening period. Subjects will take their study drug in the presence of study staff. Compliance will be confirmed by a mouth check after dosing.",NA,NA,NA
main,ACTRN12619000583145,https://anzctr.org.au/ACTRN12619000583145.aspx,"A phase 2 study, single group assignment.<br>Participants have been categorised into two cohorts upon registration into the study. Each cohort is defined as the following:<br>- Cohort 1: Participants registered to the study who have had most recent treatment with substrate-PARPi. Patients n=20 <br>- Cohort 2: Participants registered to the study who have had most recent treatment with chemotherapy. Patients n=20<br><br>Experimental drug is Pamiparib (BGB-290)<br>60 mg of Pamiparib (3 capsules of 20mg) will be administered orally twice a day, once in the morning and once in the evening continuously in 28 day cycles.<br><br>Patients will remain on treatment until progressive disease, unacceptable toxicity, patient discontinuation/withdrawal or at the discretion of the investigator. Patients who discontinue treatment due to progressive disease will be followed for survival only and patients who discontinue treatment for other reasons will be followed for progression and survival.<br><br>Patients can be on treatment continuously until 3 years after the last patient has commenced treatment. This equates to an average of 3 to 5 years for the purpose of this study<br><br>A patient diary will be used to monitor adherence to the study drug Pamiparib. <br><br>",NA,NA,NA
main,ACTRN12619000611123,https://anzctr.org.au/ACTRN12619000611123.aspx,"Orally administered encapsulated lyophilised faecal microbiota transplantation administered daily over a period of 8 weeks. Given the nature of FMT, the dose of FMT will vary.<br>-Participants will be contacted weekly to check compliance and for further reminders and arranged unused product return.",NA,NA,NA
im,ACTRN12619000617167,https://anzctr.org.au/ACTRN12619000617167.aspx,"Influenza vaccination (intramuscular injections) comparing a new two dose strategy using the trivalent high dose influenza vaccine (HD) followed by a second dose of quadrivalent standard dose (SD) influenza vaccine one month later (HD-SD, Arm 1) and the current standard two dose strategy of quadrivalent influenza vaccine one month apart (SD-SD, Arm 2). Each dose is a 0.5 mL intramuscular injection into the deltoid muscle. Annual seasonal influenza vaccination is currently recommended for patients following autoHSCT within 12 months of tranpslant. At Peter MacCallum Cancer Centre (PMCC), patients commence a program of re-vaccination at 6 months post-autoHSCT. This includes two doses of seasonal influenza vaccine (separated by 4 weeks) if they have not received this by 6 months post-transplant. Quadrivalent standard dose vaccine (FluQuadri) contains 60 micrograms (µg) haemagglutinin (HA) per 0.5 mL dose in the recommended ratio of 15 µg HA of each of the four influenza strains. Trivalent high dose vaccine (Fluzone-HD) contains 180 micrograms (µg) haemagglutinin (HA) per 0.5mL dose in the recommended ration of 60(µg) HA of each of the three influenza strains.<br>Throughout the study, patients will be sent a weekly short message service (SMS) asking whether they have experienced an ILI (fever with at least one acute respiratory symptom or sign) in the previous 7 days. Patients will also receive SMS reminders about any follow-up appointments. The use of SMS reminders has been shown to improve retention in research studies. The SMS reminder will include their appointment time and the location. Patients failing to attend their appointment will be contacted by phone to reschedule the appointment.",Yes,NA,NA
main,ACTRN12619000736145,https://anzctr.org.au/ACTRN12619000736145.aspx,Vitamin C tablets: 1g twice daily for 5 weeks<br>Commencing one week prior to HSCT<br>Adherence monitored by tablet return and plasma levels<br><br><br>,NA,Yes,Yes
main,ACTRN12619000746134,https://anzctr.org.au/ACTRN12619000746134.aspx,"All patients will  will be administered Venetoclax orally once daily (QD) Days 1 through 28, of a 28-day cycle, with a designated dose of 600 mg daily. <br>Cytarabine (20 mg/m2) will be administered by subcutaneous injection be given QD following administration of Venetoclax on Days 1-10 of every cycle.<br><br>Patients will remain on treatment for up to 24 cycles unless discontinuation criteria is met.<br>Adherence is monitored through hospital drug administration records and tablet adherence through drug packet return.",NA,NA,NA
im,ACTRN12619000792123,https://anzctr.org.au/ACTRN12619000792123.aspx,"Afluria Quad/Afluria Quad Junior<br><br>Afluria Quad/Afluria Quad Junior is an inactivated, split-virion, thimerosal-free, quadrivalent influenza vaccine, administered as either one or two intramuscular dose(s) depending on their previous history of influenza virus vaccination according to age appropriate national vaccine administration recommendations outlined in the Australian or New Zealand Immunisation Handbooks. Participants with previous history of influenza virus vaccination will receive 1 dose; and participants 6 months to <9 years receiving an influenza vaccine for the first time will receive 2 doses. <br><br>In each vaccination season, participants 6 months to less than 3 years will be randomly<br>administered one of three manufacturing batches of Afluria Quad Junior, and participants 3 years to less than 9 years will be randomly administered one of three manufacturing batches of Afluria Quad vaccine. Participants will receive the following dose depending upon their age at the time of administration of the first dose of Study Vaccine:<br> - 6 months to less than 3 years of age: 1 or 2 doses of 7.5 mcg hemagglutinin antigen<br> - 3 years to less than 9 years of age: 1 or 2 doses of 15 mcg hemagglutinin antigen<br><br><br>",Yes,NA,NA
im,ACTRN12619000829112,https://anzctr.org.au/ACTRN12619000829112.aspx,"Early Metabolic Resuscitation: After initial shock treatment including fluids and a first intravenous inotrope patients receive concomitant treatment with Hydrocortisone, Vitamin C, and Thiamine:<br>1.Ascorbic acid (Vitamin C). The dosing schedule is 30mg/kg intravenously every 6 hours for the duration of study treatment and will be infused over 1 hour. <br>2.Thiamine (Vitamin B1): The dosing schedule is 4mg/kg intravenously every 12 hours for the duration of study treatment and will be infused over 1 hour. <br>3.Hydrocortisone: The dosing schedule is 1mg/kg intravenously every 6 hours for the duration of study treatment given as a slow bolus. <br>Study drugs will be given through an existing intravenous line using. Drug delivery will occur through guardrails or similar system to ensure safe delivery of applied standardized drug concentrations.<br>Study treatments will be given for a duration of 7 days, or until resolution of shock, discharge from intensive care unit, death, or occurrence of major side effects, whichever occurs first.<br>Compliance with protocol will be assessed through the prospective institutional drug charts, and the prospective study case report form.",NA,NA,Yes
main,ACTRN12619001043123,https://anzctr.org.au/ACTRN12619001043123.aspx,"Avatrombopag will be administered by an oral tablet, 20 mg per day for 180 days. Dose will be adjusted every 2 weeks guided by reticulocyte count, platelet count/platelet transfusion and neutrophil counts.<br>Titration of avatrombopag will be based on FBE/reticulocyte counts which will be measured at every time point, day 1, 14, month 1,1.5, 2, 2.5, 3, 4, 5, 6, 9, 12, 15, 18, 21, 24.<br>A patient diary will be issued to participants which will be required at each monthly visit with their clinical trial clinician/coordinator. Any unused tablets are to be returned at each participant visit.<br>",NA,NA,NA
main,ACTRN12619001048178,https://anzctr.org.au/ACTRN12619001048178.aspx,"A five year phase III cluster randomised control trial was conducted among 18 schistosomiasis- endemic barangay comprising 18,221 residents in Northern Samar, The Philippines. We examined the impact of a combination of human mass chemotherapy, snail control through mollusciciding and SjCTPI bovine vaccination on the human incidence of infection. Following the baseline survey, the interventions were implemented in 18 intervention groups from 2013 to 2017. The investigators, including the research team, and study participants were blind to the vaccine allocation. At baseline all residents (60 mg/kg directly observed split oral dose) and bovines (30 mg/kg directly feed oral dose) were treated with a directly observed oral dose of PZQ. Villages were then pair-matched for the RCT based on historical prevalence, baseline outcomes, and transmission ecology. One of three intervention ARMs (no specific intervention (control), human mass praziquantel (PZQ) treatment, mollusciciding) were randomly assigned to each pair to achieve three pairs per intervention type. Within each pair, one village was randomly assigned the active vaccine for vaccinating bovines and the other village received a placebo vaccine. The intervention matrix is shown below:<br><br>Intervention---------Vaccinated Bovines-------Unvaccinated bovines<br><br>Mollusciciding----------3 Villages (A)----------------3 Villages (B)<br><br>Human treatment-----3 Villages (C)----------------3 Villages (C)<br><br>Neither------------------3 Villages (D)----------------3 Villages (e) Controls<br><br>Bovines received the priming SjCTPI DNA vaccine and then the protein boost or placebo control in VacSIM® six months later, in 2013 with subsequent booster vaccinations or placebo controls in VacSIM® given in 2014, 2015 and 2016. Full details of the production and formulation of the SjCTPI vaccines (plasmids encoding SjCTPI-HSP70 and UMVC3-mIL12 and recombinant SjCTPI), placebo control vaccine, the vaccination regimen, and the",Yes,NA,NA
main,ACTRN12619001079134,https://anzctr.org.au/ACTRN12619001079134.aspx,"This study will evaluate the in vivo safety and infectivity of a Plasmodium falciparum 3D7-MBE008 master cell bank (MCB) in healthy subjects using the induced blood stage malaria (IBSM) model. The study will be conducted in up to 2 subjects. The safety data review team (SDRT) will review the parasitaemia and safety data obtained from the first subject up until the end of Riamet® treatment before the second subject is inoculated with the malaria challenge agent. <br>The malaria challenge agent, containing an estimated ~2,800 viable P. falciparum 3D7 parasite-infected RBCs in a volume of 2 mL, will be administered once intravenously on Day 0. The subject will undergo intravenous cannulation with an appropriate gauge cannula. The challenge agent will be injected immediately by an infectious disease physician, and the cannula again flushed with 5-10 mL of clinical grade saline. The cannula will then be removed, and haemostasis ensured by use of an appropriate dressing. The subject will be observed for a minimum of 60 minutes after inoculation.<br>Subjects will be intravenously inoculated with P. falciparum-infected human erythrocytes on Day 0 (approximately 2,800 viable parasites). Subjects will be monitored daily via phone call or text message on Days 1 to 3 to solicit any adverse events (AEs). Subjects will then come to the clinical unit twice daily from Day 4, separated by approximately 12 hours, for safety assessments and to monitor the progression of parasitaemia by collecting blood samples and performing qPCR targeting the gene encoding P. falciparum 18S rRNA. <br>Antimalarial treatment with artemether/lumefantrine (Riamet®) will be initiated when parasitaemia reaches =10,000 parasites/mL. Subjects will be admitted to the clinical unit for earlier treatment if:<br>•t",NA,NA,NA
im,ACTRN12619001518156,https://anzctr.org.au/ACTRN12619001518156.aspx,"Patients allocated to the study gas arm will receive nitric oxide (NO), which will be blended into the fresh gas flow for the ECMO oxygenator and maintained at 20 ppm.<br>ECMO specialists and/or Perfusionists will administer the  study drug via a Nitric Oxide delivery system (such as SoKinox provided by Air Liquide Healthcare) with continuous sampling of NO and NO2 concentration from an access port just prior to the oxygenator. <br>NO will be started when the patient is cannulated for ECMO and ceased once patient is off ECMO. <br>The duration of the intervention should be equal to the duration of ECMO (i.e. several days). ECMO specialists and/or Perfusionists will record electronically the start time and stop time of the study drug.<br>Patients allocated to the intervention arm will receive standard respiratory gases (oxygen-air mix) during ECMO as per institutional practice.<br>Compliance with protocol will be assessed through the prospective institutional drug charts, and the prospective study case report form.",NA,NA,NA
main,ACTRN12619001568101,https://anzctr.org.au/ACTRN12619001568101.aspx,"Tocotrienol-Rich Vitamin E from palm oil. Details are as follows:<br>Contents:<br>1. d-Alpha-Tocotrienol 15.38 mg<br>2. d-Gamma-Tocotrienol 28.20 mg<br>3. d-Delta-Tocotrienol 6.42 mg<br>4. d-Alpha-Tocopherol 22.90 IU<br>5. Plant Squalene 12.82 mg<br>6. Phytosterol Complex 5.12 mg<br>7. Phytocarotenoid Complex 90.00 ug<br>Dose: 200mg twice daily<br>Duration: 48 weeks<br>Mode of administration: oral capsule<br><br>Adherence will be assessed by calculating the number of remaining capsules in the bottles containing investigation products given to the participants during the follow-up visits. Besides, the serum Vitamin E levels will be measured to assess adherence of the participants.",NA,NA,Yes
main,ACTRN12619001623189,https://anzctr.org.au/ACTRN12619001623189.aspx,"This is a single and multiple dose study with participants receiving oral (Z)-endoxifen 4mg tablets or placebo tablets. Participants will be assigned to the same allocated study treatment ((Z)-endoxifen or placebo) through both Part A and Part B.<br>12 healthy female volunteers will be screened 28 days prior to commencement of dosing.<br>Participants will be admitted to the clinical facility on Day -1 for up to 3 days in Part A (single dose). Participants will also be admitted for a second confinement period in Part B (multiple dose) on Day 13 for up to 3 days.<br>Part A: Single Dose<br>The first dose of study drug (one 4mg (Z)-endoxifen tablet or placebo tablet) will be administered on Day 1. Following completion of all safety assessments and sampling for PK analyses, participants will be discharged from the clinical facility on Day 3.<br>On days 4, 6, 8 and 15 participants will return to the clinical facility to attend out-patient visits including safety tests and pharmacokinetics (PK)<br>Days 2 through 25 is a study drug-free period, or daily dosing wash out period (of a minimum 25 days). The minimum period between the completion of Part A (Day 15) and commencement of Part B will be 10 days. <br>A Safety Summary, (consisting of laboratory safety data obtained though Day 6) and<br>pharmacokinetic (PK) data (through Day 6) will be analysed (in blinded manner) for review by the Principal Investigator and Sponsor’s Representative prior to the initiation (dosing) of the multiple dosing part of the study.<br><br>Part B: Multiple Dose<br>Day 1 starts the multi-dose administration period. Participants will return to the clinic for a pre-dose blood draw and commence daily oral administration of the study drug (one 4mg (Z)-endoxifen tablet or placebo tablet daily) for 14 conse",NA,NA,NA
