study_arm,TrialID,url,Scientific_title,primary_purpose,multicentre,Study_design,control_arm,randomisation,blinding,prospective,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,Date_enrollment_format,sample_size,Conditions,Bridging_flag,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor
im,ACTRN12619000256178,https://anzctr.org.au/ACTRN12619000256178.aspx,Vitamin C administration in community acquired pneumonia (CURB-65 >1): a feasibility study for a randomised controlled trial,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-05-01,140,Community Acquired Pneumonia; <br>Community Acquired Pneumonia;Infection - Other infectious diseases;Respiratory - Other respiratory disorders / diseases,FALSE,FALSE,2019-02-20,Phase 2,Vitamin C in Community Acquired Pneumonia: A pilot study,New Zealand,University of Otago
main,ACTRN12619000305123,https://anzctr.org.au/ACTRN12619000305123.aspx,"Can loss of response to the gut hormone, glucose-dependent insulinotropic polypeptide (GIP), be reversed in type 2 diabetes?",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2019-04-15,36,Type 2 diabetes mellitus; <br>Type 2 diabetes mellitus;Metabolic and Endocrine - Diabetes,FALSE,FALSE,2019-02-27,Phase 1,"Can loss of response to the gut hormone, glucose-dependent insulinotropic polypeptide (GIP), be reversed in type 2 diabetes?",Australia,University
main,ACTRN12619000391178,https://anzctr.org.au/ACTRN12619000391178.aspx,"A bioequivalence study of two pharmaceutical preparations of Amfepramone 75mg in healthy volunteers, to assessment the interchangeability of the pharmaceutical preparations",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Crossover;Type of endpoint: Bio-equivalence;,Yes,Yes,Yes,No,ANZCTR,Phase 3,No,No,Yes,No,No,No,2017-02-03,30,Obesity.; <br>Obesity.;Diet and Nutrition - Obesity,FALSE,FALSE,2019-03-12,Phase 3,"A bioequivalence study of two pharmaceutical preparations of Amfepramone 75mg in healthy volunteers, to assessment the interchangeability of the pharmaceutical preparations",Mexico,"Investigación Farmacéutica, S.A. de C.V."
main,ACTRN12619000437167,https://anzctr.org.au/ACTRN12619000437167.aspx,A Study to Evaluate the Effect of AB-506 on the Single Dose Pharmacokinetics of an Oral Contraceptive in Healthy Female Subjects,Treatment,NA,Purpose: Treatment; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Pharmacokinetics;,No,Not applicable,No,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2019-05-16,32,Chronic Hepatitis B Infection (CHB) ; <br>Chronic Hepatitis B Infection (CHB) ;Infection - Other infectious diseases;Reproductive Health and Childbirth - Contraception,FALSE,FALSE,2019-03-18,Phase 1,A study to investigate the effect of AB-506 on Single Dose Pharmacokinetics of an Oral Contraceptive in Healthy Female Subjects,Australia,Arbutus Biopharma Corporation
main,ACTRN12619000583145,https://anzctr.org.au/ACTRN12619000583145.aspx,"A Phase II, Signal-Seeking Trial of the Clinical Benefit Rate Associated with Pamiparib in Subjects with Germline or Somatic BRCA1/2 High Grade Serous Ovarian Cancer or carcinosarcoma who have progressed on P-gp substrate chemotherapy or PARP inhibitors with the Presence of an ABCB1 Fusion and the Absence of a BRCA1/2 Reversion",Treatment,NA,Purpose: Treatment; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Efficacy;,No,Not applicable,No,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-08-15,40,High Grade Serous Ovarian Cancer;Carcinosarcoma; <br>High Grade Serous Ovarian Cancer <br>Carcinosarcoma;Cancer - Ovarian and primary peritoneal,FALSE,FALSE,2019-04-15,Phase 2,"A Phase II, Signal-Seeking Trial of the Clinical Benefit Rate Associated with Pamiparib in Subjects with Germline or Somatic BRCA1/2 High Grade Serous Ovarian Cancer or carcinosarcoma who have progressed on P-gp substrate chemotherapy or PARP inhibitors with the Presence of an ABCB1 Fusion and the Absence of a BRCA1/2 Reversion",Australia,Australia New Zealand Gynaecological Oncology Group
main,ACTRN12619000611123,https://anzctr.org.au/ACTRN12619000611123.aspx,Lyophilised Oral Faecal Microbiota Transplantation in the Management of Ulcerative Colitis - a double-blind randomised controlled trial,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-08-01,64,Ulcerative Colitis; <br>Ulcerative Colitis<br>;Oral and Gastrointestinal - Inflammatory bowel disease,FALSE,FALSE,2019-04-24,Phase 2,Lyophilised Oral Faecal Microbiota Transplantation in the Management of Ulcerative Colitis -(LOTUS Study),Australia,The University of Sydney
im,ACTRN12619000617167,https://anzctr.org.au/ACTRN12619000617167.aspx,A randomised trial to compare level of protection afforded by two different influenza vaccination strategies in patients following autologous haematopoietic stem cell transplantation,Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,No,Yes,ANZCTR,Phase 3,No,No,No,No,No,Yes,2019-05-06,70,autologous haematopoietic stem cell transplantation (autoHSCT);influenza;myeloma;lymphoma; <br>autologous haematopoietic stem cell transplantation (autoHSCT) <br>influenza <br>myeloma <br>lymphoma;Cancer - Myeloma;Infection - Other infectious diseases;Cancer - Lymphoma (non Hodgkin's lymphoma) - High grade lymphoma,FALSE,FALSE,2019-04-26,Phase 2 / Phase 3,Stem cell transplant influenza vaccination strategies,Australia,Peter MacCullum Cancer Institute
main,ACTRN12619000736145,https://anzctr.org.au/ACTRN12619000736145.aspx,Vitamin C supplementation of myeloma patients undergoing stem cell transplantation: a pilot study to evaluate effect on vitamin C status,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial;,Yes,Yes,NA,Yes,ANZCTR,Undefined,No,No,No,No,No,Yes,2019-08-26,42,Myeloma; <br>Myeloma;Cancer - Myeloma,FALSE,FALSE,2019-05-16,Not Applicable,Vitamin C supplementation of myeloma patients undergoing stem cell transplantation,New Zealand,University of Otago
main,ACTRN12619000746134,https://anzctr.org.au/ACTRN12619000746134.aspx,A phase 2 study of venetoclax in combination with low-dose cytarabine in relapsing acute myeloid leukemia,Treatment,NA,Purpose: Treatment; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;,No,Not applicable,No,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-12-19,32,Acute Myeloid Leukemia; <br>Acute Myeloid Leukemia;Cancer - Leukaemia - Acute leukaemia,FALSE,FALSE,2019-05-20,Phase 2,A phase 2 study of venetoclax in combination with low-dose cytarabine in relapsing acute myeloid leukemia,Australia,Alfred Hospital
im,ACTRN12619000829112,https://anzctr.org.au/ACTRN12619000829112.aspx,Resuscitation in Paediatric Sepsis Using Metabolic Support– A Randomized Controlled Trial to Assess Impact on Survival Free of Organ Dysfunction,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,No,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-08-01,80,Sepsis;Septic Shock; <br>Sepsis <br>Septic Shock;Infection - Studies of infection and infectious agents,FALSE,FALSE,2019-06-07,Phase 2,Resuscitation in Paediatric Sepsis Using Metabolic Support (RESPOND-PICU),Australia,University of Queensland
main,ACTRN12619001043123,https://anzctr.org.au/ACTRN12619001043123.aspx,Avatrombopag iN Relapsed or Refractory severe Aplastic Anaemia as EXtra Therapy – a Bayesian Optimal Phase II study,Treatment,NA,Purpose: Treatment; Allocation: Non-randomised trial; Type of endpoint: Safety/efficacy;,NA,No,NA,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-10-22,55,Refractory/relapsed severe aplastic anaemia; <br>Refractory/relapsed severe aplastic anaemia;Blood - Haematological diseases,FALSE,FALSE,2019-07-23,Phase 2,Avatrombopag in Relapsed or Refractory Severe Aplastic Anaemia  – a Bayesian Optimal Phase II study,Australia,Monash University
main,ACTRN12619001048178,https://anzctr.org.au/ACTRN12619001048178.aspx,"The effect of human mass praziquantel (PZQ) treatment, snail mollusciciding and bovine vaccination on the human incidence of schistosomiasis among individuals residing in endemic villages of the Philippines",Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Other;Type of endpoint: Efficacy;,Yes,Yes,Yes,No,ANZCTR,Phase 3,No,No,No,Yes,No,No,2012-06-11,20000,Schistosomiasis; <br>Schistosomiasis;Infection - Studies of infection and infectious agents;Public Health - Other public health,FALSE,FALSE,2019-07-25,Phase 3,"The effect of human mass praziquantel (PZQ) treatment, snail mollusciciding and bovine vaccination on the human incidence of schistosomiasis among individuals residing in endemic villages of the Philippines",Philippines,Griffith University
main,ACTRN12619001079134,https://anzctr.org.au/ACTRN12619001079134.aspx,A pilot study to increase the in vivo safety and infectivity of an in vitro expanded Plasmodium falciparum 3D7-MBE008 master cell bank in healthy subjects,Treatment,NA,Purpose: Treatment; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Safety;,No,Not applicable,No,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2019-08-13,2,Malaria; <br>Malaria;Infection - Other infectious diseases,FALSE,FALSE,2019-08-05,Phase 1,A pilot study to increase the in vivo safety and infectivity of an in vitro expanded Plasmodium falciparum 3D7-MBE008 master cell bank in healthy subjects,Australia,QIMR Berghofer Medical Research Institute
im,ACTRN12619001518156,https://anzctr.org.au/ACTRN12619001518156.aspx,Nitric Oxide on ExtraCorporeal Membrane Oxygenation – a randomised Trial in neonates and children (NECTAR trial).,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,No,Yes,ANZCTR,Undefined,No,No,No,No,No,Yes,2019-11-05,50,Cardiovascular failure requiring Extracorporeal Membrane Oxygenation;Respiratory failure requiring Extracorporeal Membrane Oxygenation; <br>Cardiovascular failure requiring Extracorporeal Membrane Oxygenation <br>Respiratory failure requiring Extracorporeal Membrane Oxygenation;Respiratory - Other respiratory disorders / diseases;Cardiovascular - Other cardiovascular diseases,FALSE,FALSE,2019-11-04,Not Applicable,Nitric Oxide on ExtraCorporeal Membrane Oxygenation – a randomised Trial in neonates and children (NECTAR trial).,Australia,The University of Queensland
main,ACTRN12619001568101,https://anzctr.org.au/ACTRN12619001568101.aspx,"The Effects of Tocotrienol-Rich Vitamin E (Tocovid) on Diabetes and Diabetic Microvascular Complications: Nephropathy, Retinopathy and Neuropathy",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Efficacy;,Yes,Yes,Yes,No,ANZCTR,Phase 2,No,No,No,Yes,No,No,2019-03-06,116,Diabetes Mellitus;Diabetic Nephropathy;Diabetic Retinopathy;Diabetic Neuropathy; <br>Diabetes Mellitus <br>Diabetic Nephropathy <br>Diabetic Retinopathy <br>Diabetic Neuropathy;Metabolic and Endocrine - Diabetes;Renal and Urogenital - Other renal and urogenital disorders;Eye - Diseases / disorders of the eye;Neurological - Other neurological disorders,FALSE,FALSE,2019-11-13,Phase 2,"The Effects of Tocotrienol-Rich Vitamin E (Tocovid) on Diabetes and Diabetic Microvascular Complications: Kidney Disease (Nephropathy), Eye Disease (Retinopathy) and (Nerve Impariment (Neuropathy)",Malaysia;Malaysia,Monash University Malaysia
main,ACTRN12619001623189,https://anzctr.org.au/ACTRN12619001623189.aspx,"A Phase I, Randomised, Double-Blinded, Placebo Controlled, Safety and Pharmacokinetic Study of (Z)-Endoxifen Tablets in Healthy Female Volunteers",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Pharmacokinetics;,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2019-12-02,12,Estrogen Receptor Positive (ER+) Breast Cancer; <br>Estrogen Receptor Positive (ER+) Breast Cancer;Cancer - Breast,FALSE,FALSE,2019-11-22,Phase 1,"A Phase I, Randomised, Double-Blinded, Placebo Controlled, Safety and Pharmacokinetic Study of (Z)-Endoxifen Tablets in Healthy Female Volunteers",Australia,Atossa  Genetics Aus Pty Ltd
main,ACTRN12619001694101,https://anzctr.org.au/ACTRN12619001694101.aspx,A randomized placebo controlled trial to investigate the effect of suvorexant on REM sleep and fear extinction recall in healthy volunteers.,Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 4,No,No,No,No,No,Yes,2020-01-21,60,PTSD; <br>PTSD;Mental Health - Other mental health disorders,FALSE,FALSE,2019-12-02,Phase 4,Can the double orexin receptor antagonist suvorexant increase rapid eye movement (REM) sleep and improve sleep-dependent processing of emotional memories in healthy adults?,Australia,The University of Melbourne
covid,ACTRN12620000588998,https://anzctr.org.au/ACTRN12620000588998.aspx,The safety and efficacy of STC3141 in patient with COVID-19 ARDS require intensive care,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial;,Yes,Yes,NA,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2020-05-29,160,COVID-19 infection; <br>COVID-19 infection;Infection - Other infectious diseases;Respiratory - Other respiratory disorders / diseases,FALSE,FALSE,2020-05-21,Phase 2,The safety and efficacy of STC3141 in patient with COVID-19 Acute Respiratory Distress Syndrome,Australia,Grand Medical Pty Ltd
covid,ACTRN12620000676910,https://anzctr.org.au/ACTRN12620000676910.aspx,"Allogeneic Amniotic Epithelial Cells for the Treatment of COVID-19 related respiratory failure, a pilot feasibility randomised controlled trial",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Type of endpoint: Safety/efficacy;,Yes,Yes,NA,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2020-06-29,40,COVID-19 related respiratory failure; <br>COVID-19 related respiratory failure;Respiratory - Other respiratory disorders / diseases;Infection - Other infectious diseases,FALSE,FALSE,2020-06-15,Phase 1 / Phase 2,Amnion cells for COVID-19 related respiratory failure,Australia,Monash Health
covid,ACTRN12620000816954,https://anzctr.org.au/ACTRN12620000816954.aspx,"A Double-blinded, Randomised, and Placebo-controlled Safety Study of AT-301 Nasal Spray in Healthy Adults",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial;,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2020-08-17,32,COVID-19; <br>COVID-19;Respiratory - Other respiratory disorders / diseases;Infection - Other infectious diseases,FALSE,FALSE,2020-08-14,Phase 1,"A Double-blinded, Randomised, and Placebo-controlled Safety Study of AT-301 Nasal Spray in Healthy Adults",Australia,Atossa Therapeutics Inc
covid,ACTRN12620000841976,https://anzctr.org.au/ACTRN12620000841976.aspx,"COVID-19 Prevention and Treatment in Cancer; a Sequential Multiple Assignment Randomised Trial; C-SMART study.
Arm 3: Effect of selinexor in cancer patients with moderate COVID-19 infection.",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 3,No,No,No,No,No,Yes,2020-09-01,126,COVID-19;Cancer; <br>COVID-19 <br>Cancer;Infection - Other infectious diseases;Cancer - Any cancer;Respiratory - Other respiratory disorders / diseases,FALSE,FALSE,2020-08-26,Phase 3,"C-SMART.
COVID-19 Prevention and Treatment in Cancer. 
Arm 3: treatment among cancer patients with moderate COVID-19 infection.",Australia,Peter MacCallum Cancer Centre
covid,ACTRN12620000844943,https://anzctr.org.au/ACTRN12620000844943.aspx,"COVID-19 Prevention and Treatment in Cancer; a Sequential Multiple Assignment Randomised Trial; C-SMART study
Arm 4: Effect of Lenzilumab in cancer patients with severe COVID-19 infection.
",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 3,No,No,No,No,No,Yes,2020-09-01,72,COVID-19;Cancer; <br>COVID-19 <br>Cancer;Infection - Other infectious diseases;Cancer - Any cancer;Respiratory - Other respiratory disorders / diseases,FALSE,FALSE,2020-08-26,Phase 3,"C-SMART.
COVID-19 Prevention and Treatment in Cancer
Arm 4: treatment among cancer patients with severe COVID-19 infection.",Australia,Peter MacCallum Cancer Centre
covid,ACTRN12620000982910,https://anzctr.org.au/ACTRN12620000982910.aspx,"A randomized double-blind placebo-controlled trial of oral ivermectin outpatient treatment, to prevent hospitalisation, of those at high risk for hospitalization due to SARS-CoV-2 (COVID-19)",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial;,Yes,Yes,Yes,Yes,ANZCTR,Phase 3,No,No,No,No,No,Yes,2020-10-05,400,"SARS-CoV-2 (COVID-19),; <br>SARS-CoV-2 (COVID-19),;Infection - Other infectious diseases;Respiratory - Other respiratory disorders / diseases",FALSE,FALSE,2020-09-30,Phase 3,A randomized double-blind placebo-controlled trial of oral ivermectin for outpatient treatment of those at high risk for hospitalization due to COVID-19,Australia,Neuroscience Trials Australia
covid,ACTRN12620001104943,https://anzctr.org.au/ACTRN12620001104943.aspx,"A Phase 1, Placebo-Controlled, Single Dose, Escalating Dose Study to Determine the Safety and Tolerability of Intranasal REVTx-99 in Healthy Adult Volunteers",Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety;,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2020-11-12,32,SARS-CoV-2 (COVID-19); <br>SARS-CoV-2 (COVID-19);Infection - Other infectious diseases;Respiratory - Other respiratory disorders / diseases,FALSE,FALSE,2020-10-26,Phase 1,A Single Dose Study to Determine the Safety and Tolerability of Intranasal REVTx-99 in Healthy Adult Volunteers,Australia,Linear Clinical Research Ltd
im,ChiCTR-IIC-16008366,http://www.chictr.org.cn/showproj.aspx?proj=14056,The Mechanism of Adenotonsillar Hypertrophy and Medication in Children with Obstructive Sleep Apnea Hypopnea Syndrome,NA,NA,Cross-sectional,No,No,NA,No,ChiCTR,Phase 1,No,No,No,Yes,No,No,2013-02-01,10,obstructive sleep apnea hypopnea syndrome,FALSE,FALSE,2016-04-26,I (Phase I study),Leukotriene antagonists and corticosteroids suppress in vitro adenotonsillar proliferation in children with obstructive sleep apnea hypopnea syndrome,China,"State Key Laboratory of Respiratory Disease, The First Affiliated Hospital of Guangzhou Medical University"
