study_arm,TrialID,url,Scientific_title,primary_purpose,multicentre,Study_design,control_arm,randomisation,blinding,prospective,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,Date_enrollment_format,sample_size,Conditions,Bridging_flag,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor
main,ChiCTR1900022351,http://www.chictr.org.cn/showproj.aspx?proj=35137,"A prospective, multi-center, randomized controlled clinical trial for perioperative optimal bridge strategy on antithrombotic therapy of patients with a recently implanted coronary drug-eluting stent undergoing non-cardiac surgery",NA,Yes,Parallel,Yes,Yes,NA,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2019-05-01,1600,coronary artery disease,FALSE,FALSE,2019-04-07,4,"A prospective, multi-center, randomized controlled clinical trial for perioperative optimal bridge strategy on antithrombotic therapy of patients with a recently implanted coronary drug-eluting stent undergoing non-cardiac surgery",China,"Rui Jin Hospital, Shanghai Jiao Tong University School of Medicine"
main,ChiCTR1900022488,http://www.chictr.org.cn/showproj.aspx?proj=37970,A randomized controlled study for puerarin regulates gut microbiota of patients with carotid atherosclerosis,NA,NA,Parallel,Yes,Yes,NA,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2019-05-01,20,Carotid atherosclerosis,FALSE,FALSE,2019-04-13,0,A randomized controlled study for puerarin regulates gut microbiota of patients with carotid atherosclerosis,China,"Zhujiang Hospital, Southern Medical University"
im,ChiCTR1900023507,http://www.chictr.org.cn/showproj.aspx?proj=31221,The study of ideal anesthetic regimen for drug-induced sleep endoscopy based on EEG monitoring in children with obstructive sleep apnea,NA,NA,Parallel,Yes,NA,NA,No,ChiCTR,Phase 1,No,No,No,Yes,No,No,2018-08-01,100,Obstructive Sleep Apnea,FALSE,FALSE,2019-05-31,0,The study of ideal anesthetic regimen for drug-induced sleep endoscopy based on EEG monitoring in children with obstructive sleep apnea,China,"Shanghai Children's Medical Center, Shanghai Jiaotong University School of Medicine, Shanghai"
main,ChiCTR1900023825,http://www.chictr.org.cn/showproj.aspx?proj=39847,"Platelet inhibition in ACS patients after PCI by standard dose ticagrelor, low-dose ticagrelor and standard dual anti-platelet therapy after shortening the duration of dual anti-platelet therapy",NA,NA,Parallel,Yes,NA,NA,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2019-07-01,150,acute coronary syndrome,FALSE,FALSE,2019-06-13,4,Platelet inhibition in ACS patients after PCI by shortening the duration of dual antiretroviral therapy and low-dose ticagrelor,China,Tianjin Union Medical Center
im,ChiCTR1900024894,http://www.chictr.org.cn/showproj.aspx?proj=41373,Clinical study for moderate sedation with low dose propofol combined with sufentanil at BIS's direction in gastroscopy of patients with snoring,NA,NA,Parallel,Yes,NA,NA,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2019-08-03,136,Sleep apnea,FALSE,FALSE,2019-08-02,0,Clinical study for moderate sedation with low dose propofol combined with sufentanil at BIS's direction in gastroscopy of patients with snoring,China,"The Second Affiliated Hospital, Jiaxing College"
main,ChiCTR1900026242,http://www.chictr.org.cn/showproj.aspx?proj=43382,Study for the therapeutic effect of heparin in the treatment of Pyrrolidine alkaloids-induced hepatic sinusoidal obstruction syndrome,Treatment,NA,Parallel,Yes,NA,NA,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2019-10-01,60,hepatic sinusoidal obstruction syndrome,FALSE,FALSE,2019-09-28,4,Study for the effect of heparin in the treatment of Pyrrolidine alkaloids-induced hepatic sinusoidal obstruction syndrome,China,"Division of Gastroenterology, Union Hosptial, Tongji Medical College, Huazhong University of Science and Technology"
main,ChiCTR1900026494,http://www.chictr.org.cn/showproj.aspx?proj=44030,A randomized controlled tiral for the effect of preoperative Vitamin D supplementation on the incidence of Post Operative Cognitive Dysfunction in old patients after surgery,NA,NA,Parallel,Yes,Yes,NA,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2019-10-14,120,Postoperative cognitive dysfunction,FALSE,FALSE,2019-10-12,0,A randomized controlled tiral for the effect of preoperative Vitamin D supplementation on the incidence of Post Operative Cognitive Dysfunction in old patients after surgery,China,"Department of Anesthesiology, Peking University First Hospital"
main,ChiCTR1900027146,http://www.chictr.org.cn/showproj.aspx?proj=45130,China Children's Leukemia Group (CCLG) - AML2019 study on pediatric acute myeloid leukemia,NA,NA,Parallel,Yes,NA,NA,No,ChiCTR,Phase 4,No,No,No,Yes,No,No,2019-11-01,600,pediatic acute myeloid leukemia,FALSE,FALSE,2019-11-02,4,China Children's Leukemia Group (CCLG) - AML2019 study on pediatric acute myeloid leukemia,China,Capital Medical University Beijing Children's Hospital
main,ChiCTR1900027678,http://www.chictr.org.cn/showproj.aspx?proj=44407,GC012F injection (BCMA/CD19 CAR-T) in the treatment of recurrent refractory BCMA+ multiple myeloma,Treatment,NA,Single arm,No,Not applicable,NA,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2019-11-24,12,BCMA+Multiple Myeloma,FALSE,FALSE,2019-11-23,0,GC012F injection (BCMA/CD19 CAR-T) in the treatment of recurrent refractory BCMA+ multiple myeloma,China,The First Affiliated Hospital of Anhui Medical University
im,ChiCTR1900028497,http://www.chictr.org.cn/showproj.aspx?proj=42626,"A randomized, double-blind, placebo controlled trial for Chai-shi-Tui-Re (CHASE) granules for influenza A",NA,NA,Parallel,Yes,Yes,Yes,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2019-12-23,170,Influenza A,FALSE,FALSE,2019-12-23,4,Effectiveness of Chai-shi-Tui-Re (CHASE)  granules for influenza A: a randomized controlled trial,China,Guangdong Provincial Hospital of  Chinese Medicine
covid,ChiCTR2000029813,http://www.chictr.org.cn/showproj.aspx?proj=49425,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),Treatment,NA,Parallel,Yes,NA,NA,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2020-02-14,72,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-02-14,0,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),China,Shanghai Public Health Clinical Center
covid,ChiCTR2000030033,http://www.chictr.org.cn/showproj.aspx?proj=49703,A study for the intervention of Xiangxue antiviral oral solution and Wu-Zhi-Fang-Guan-Fang on close contacts of novel coronavirus pneumonia (COVID-19),NA,NA,Parallel,Yes,NA,NA,Yes,ChiCTR,Undefined,No,No,No,Yes,No,No,2020-02-24,828,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-02-21,New Treatment Measure Clinical Study,A study for the intervention of Xiangxue antiviral oral solution and Wu-Zhi-Fang-Guan-Fang on close contacts of novel coronavirus pneumonia (COVID-19),Chinese,The First Affiliated Hospital of Guangzhou Medical University
covid,ChiCTR2000030089,http://www.chictr.org.cn/showproj.aspx?proj=49889,"A randomized, open-label, controlled trial for the efficacy and safety of  Adalimumab Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19)",Treatment,NA,Parallel,Yes,Yes,No,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2020-02-28,60,Novel Coronavirus Pneumonia(COVID-19),FALSE,FALSE,2020-02-22,4,A clinical study for the efficacy and safety of Adalimumab Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19),China,Shanghai Changzheng Hospital
covid,ChiCTR2000030170,http://www.chictr.org.cn/showproj.aspx?proj=50017,Study for safety and efficacy of Jakotinib hydrochloride tablets in the treatment severe and acute exacerbation patients of novel coronavirus pneumonia (COVID-19),Treatment,NA,Factorial,Yes,NA,NA,No,ChiCTR,Phase 1,No,No,No,Yes,No,No,2020-02-15,16,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-02-24,0,Study for safety and efficacy of Jakotinib hydrochloride tablets in the treatment severe and acute exacerbation patients of novel coronavirus pneumonia (COVID-19),China,Shanghai Public Health Clinical Center
covid,ChiCTR2000030469,http://www.chictr.org.cn/showproj.aspx?proj=50082,A randomized parallel controlled trial for LIUSHENWAN in Treatment of Novel Coronavirus Pneumonia (COVID-19),Treatment,NA,Parallel,Yes,Yes,NA,No,ChiCTR,Phase 1,No,No,No,Yes,No,No,2020-02-27,96,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-03-02,0,A randomized parallel controlled trial for LIUSHENWAN in Treatment of Novel Coronavirus Pneumonia (COVID-19),China,Shanghai University of TCM
covid,ChiCTR2000030804,http://www.chictr.org.cn/showproj.aspx?proj=51018,Exocarpium Citri Grandis Relieves Symptoms of Novel Coronavirus Pneunomia (COVID-19): a Randomized Controlled Clinical Trial,NA,NA,Parallel,Yes,Yes,NA,No,ChiCTR,Phase 4,No,No,No,Yes,No,No,2020-02-01,128,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-03-15,4,Exocarpium Citri Grandis Relieves Symptoms of Novel Coronavirus Pneunomia (COVID-19): a Randomized Controlled Clinical Trial,China,Maoming People's Hospital
covid,ChiCTR2000030944,http://www.chictr.org.cn/showproj.aspx?proj=50199,"An open, multi-center, control, exploratory clinical study of human NK cells and UC-MSCs transplantation for severe novel coronavirus pneumonia",NA,Yes,Parallel,Yes,NA,No,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2020-09-01,20,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-03-18,1,Clinical study of human NK cells and MSCs transplantation for severe novel coronavirus pneumonia (COVID-19),China,The Second Affiliated Hospital of Nanchang University
covid,ChiCTR2000031453,http://www.chictr.org.cn/showproj.aspx?proj=51859,"Efficacy and safety of Nintedanib esilate soft capsules in the treatment of pulmonary fibrosis in healed moderate to severe patients of novel coronavirus pneumonia (COVID-19): a single-center, randomized, placebo-controlled trial",Treatment,No,Parallel,Yes,Yes,NA,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2020-04-01,80,Novel Coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-04-01,4,"Efficacy and safety of Nintedanib esilate soft capsules in the treatment of pulmonary fibrosis in healed moderate to severe patients of novel coronavirus pneumonia (COVID-19): a single-center, randomized, placebo-controlled trial",China,"Tongji Hospital of Tongji Medical College, Huazhong Science and Technology University"
covid,ChiCTR2000039000,http://www.chictr.org.cn/showproj.aspx?proj=62581,"Randomized, double-blinded, placebo parallel-controlled phase III clinical trial to evaluate the Immunogenicity and safety of the inactivated SARS-CoV-2 Vaccine (Vero cell) in healthy population aged 18 years and above",NA,NA,Parallel,Yes,Yes,Yes,No,ChiCTR,Phase 3,Yes,No,No,No,No,No,2020-09-02,600,Novel coronavirus Pneumonia (COVID-19),FALSE,FALSE,2020-10-13,3,A Phase III clinical trial for inactivated novel coronavirus pneumonia (COVID-19) vaccine (Vero cells),Morocco,China National Biotec Group Co.Ltd
im,CTRI/2017/09/009849,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=18803,Effectiveness of enteral ivabradine for heart rate control in septic shock â?? A randomized controlled trial.,NA,NA,"Randomized, Parallel Group, Active Controlled Trial<br>  Method of generating randomization sequence:Computer generated randomization  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Open Label",Yes,Yes,No,Yes,CTRI,Undefined,No,No,No,Yes,No,No,2018-01-01,60,Health Condition 1: null- Septic shock,FALSE,FALSE,2017-09-19,N/A,Trial of ivabradine for controlling high heart rate control in septic shock.,India,All India Institute of Medical Sciences New Delhi
im,CTRI/2017/11/010688,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=11981,Effect of Sildenafil on mortality in term Neonates with hypoxemic respiratory failure due to persistent pulmonary hypertension - SIPHON,NA,NA,"Randomized, Parallel Group, Placebo Controlled Trial<br>  Method of generating randomization sequence:Computer generated randomization  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Double Blind Double Dummy",Yes,Yes,Yes,No,CTRI,Undefined,No,No,No,Yes,No,No,2015-06-20,24,Health Condition 1: null- Hypoxic Respiratory failure due to Pulmonary hypertensionHealth Condition 2: I270- Primary pulmonary hypertension,FALSE,FALSE,2017-11-28,N/A,A study on effect of Sildenafil on mortality of hypoxic babies with persistent pulmonary hypertension,India,DrDeepti
main,CTRI/2019/01/017332,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=30522,An open label single arm non-comparativeStudy to assess effectiveness and safety ofZolpidem Tartrate in patients of insomniaWith Diabetes Mellitus,NA,NA,Single Arm Trial<br>  Method of generating randomization sequence:Not Applicable  Method of allocation concealment:Not Applicable  Blinding and masking:Open Label,No,Not applicable,No,Yes,CTRI,Phase 4,No,No,No,Yes,No,No,2019-02-01,50,Health Condition 1: G470- Insomnia,FALSE,FALSE,2019-01-31,Phase 4,A scientific study to check how much the drug Zolpidem tartrate is effective and safe in the patients of Insomnia (slip disorder) with Diabetes Mellitus,India,Dr Faraz Farishta
main,CTRI/2019/02/017505,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31033,Evaluation of efficacy of optimized natural killer cells as an adjunct to allogeneic stem cell transplantation in the treatment of refractory acute myeloid leukemia - ONKAML,Treatment,NA,Single Arm Trial<br>  Method of generating randomization sequence:Not Applicable  Method of allocation concealment:Not Applicable  Blinding and masking:Not Applicable,No,Not applicable,No,Yes,CTRI,Phase 2,No,No,No,Yes,No,No,2019-02-11,21,Health Condition 1: C920- Acute myeloblastic leukemia,FALSE,FALSE,2019-02-06,Phase 2,Natural killer cell treament for Blood cancer,India,Department of Biotechnology India
main,CTRI/2019/02/017575,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31281,"A double blind randomized study on comparision of safety and efficacy of caudal,thoracic epidural and intravenous analgesia in paediatric cardiac surgery",NA,NA,"Randomized, Parallel Group, Active Controlled Trial<br>  Method of generating randomization sequence:Permuted block randomization, variable  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Participant and Investigator Blinded",Yes,Yes,Yes,Yes,CTRI,Undefined,No,No,No,Yes,No,No,2019-02-12,90,"Health Condition 1: Q214- Aortopulmonary septal defectHealth Condition 2: Q211- Atrial septal defectHealth Condition 3: Q212- Atrioventricular septal defectHealth Condition 4: Q251- Coarctation of aortaHealth Condition 5: Q209- Congenital malformation of cardiacchambers and connections, unspecifiedHealth Condition 6: Q233- Congenital mitral insufficiencyHealth Condition 7: Q205- Discordant atrioventricular connectionHealth Condition 8: Q203- Discordant ventriculoarterial connectionHealth Condition 9: Q202- Double outlet left ventricleHealth Condition 10: Q201- Double outlet right ventricleHealth Condition 11: Q225- Ebsteins anomalyHealth Condition 12: Q234- Hypoplastic left heart syndromeHealth Condition 13: Q226- Hypoplastic right heart syndromeHealth Condition 14: Q263- Partial anomalous pulmonary venousconnectionHealth Condition 15: Q250- Patent ductus arteriosusHealth Condition 16: Q213- Tetralogy of FallotHealth Condition 17: Q262- Total anomalous pulmonary venous connectionHealth Condition 18: Q210- Ventricular septal defect",FALSE,FALSE,2019-02-11,N/A,Comparative study of various analgesic methods in Pediatric cardiac surgery,India,vrajesh kumar kodali
main,CTRI/2019/02/017661,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31293,A Comparative Clinical Study of Arka And Apamarga Pratisaraneeya Kshara In The Management of Arsha,NA,NA,"Randomized, Parallel Group Trial<br>  Method of generating randomization sequence:Not Applicable  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Participant and Outcome Assessor Blinded",Yes,Yes,Yes,Yes,CTRI,Phase 3,No,No,No,Yes,No,No,2019-03-01,40,Health Condition 1: K641- Second degree hemorrhoids,FALSE,FALSE,2019-02-14,Phase 2/ Phase 3,management of ano rectal piles with kshara,India,Department of Shalya Tantra
main,CTRI/2019/04/018410,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31674,EVALUATION OF DIFFERENT CONCENTRATION OF BHRINGRAJ TAILA ON PALITYA,NA,NA,"Randomized, Parallel Group Trial<br>  Method of generating randomization sequence:Coin toss, Lottery, toss of dice, shuffling cards etc  Method of allocation concealment:Not Applicable  Blinding and masking:Open Label",Yes,Yes,No,Yes,CTRI,Undefined,No,No,No,Yes,No,No,2019-04-12,30,Health Condition 1: L99- Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,FALSE,FALSE,2019-04-03,N/A,Effect of Bhringraj Tail In Premature Graying of Hair,India,Rishikul campus
main,CTRI/2019/04/018467,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=32630,Effectiveness of Anti-neuropathic medicines(Gabapentin andAmitryptiline) in Rheumatoid Arthritis patients for pain relief. - NIL,NA,NA,"Randomized, Parallel Group, Active Controlled Trial<br>  Method of generating randomization sequence:Random Number Table  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Participant Blinded",Yes,Yes,Yes,Yes,CTRI,Phase 4,No,No,No,Yes,No,No,2019-04-08,30,Health Condition 1: M05- Rheumatoid arthritis with rheumatoid factor,FALSE,FALSE,2019-04-08,Phase 4,Effects of Gabapentin and Amitryptiline for pain management in Rheumatoid Arthritis patients.,India,ESI Institute of Pain Management
main,CTRI/2019/04/018681,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=30558,Randomised control study on association between timing of zoledronic acid infusion and hip fracture healing in patients more than 50 years of age,NA,NA,Cluster Randomized Trial<br>  Method of generating randomization sequence:Other  Method of allocation concealment:Other  Blinding and masking:Outcome Assessor Blinded,Yes,Yes,Yes,Yes,CTRI,Phase 4,No,No,No,Yes,No,No,2019-04-25,300,Health Condition 1: M810- Age-related osteoporosis without current pathological fracture,FALSE,FALSE,2019-04-22,Post Marketing Surveillance,Association between timing of zoledronic acid infusion    and hip fracture healing in elderly patients.,India,Dr Harsh Jalan
main,CTRI/2019/05/018959,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=32290,"Phase 3, Randomized, Open-label, Controlled,Multiple-Dose, Efficacy, Safety,Pharmacokinetic, and Pharmacodynamic Study of Etelcalcetide in Pediatric Subjects 28 days to lesser than 18 Years of age With Secondary Hyperparathyroidism and Chronic Kidney Disease Receiving Maintenance Hemodialysis",NA,Yes,Other<br>  Method of generating randomization sequence:Computer generated randomization  Method of allocation concealment:Centralized  Blinding and masking:Open Label,Yes,Yes,No,Yes,CTRI,Phase 3,No,Yes,Yes,Yes,Yes,No,2019-06-30,56,Health Condition 1: N258- Other disorders resulting from impaired renal tubular function,FALSE,FALSE,2019-05-06,Phase 3,A Phase 3 Study of Etelcalcetide in Pediatric Subjects With Secondary Hyperparathyroidism and Chronic Kidney Disease on Hemodialysis,Argentina;India;Republic of Korea;Russian Federation;Singapore;Taiwan;Turkey;Ukraine;United States of America;Malaysia,Amgen Technology Pvt Ltd
im,CTRI/2019/05/019109,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=33492,A Randomized controlled trial to evaluate the efficacy of topical pharyngeal anaesthesia using 5 vs 10 sprays of 10% lignocaine during flexible bronchoscopy,NA,NA,"Randomized, Parallel Group Trial<br>  Method of generating randomization sequence:Stratified block randomization  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Participant, Investigator, Outcome Assessor and Date-entry Operator Blinded",Yes,Yes,Yes,Yes,CTRI,Undefined,No,No,No,Yes,No,No,2019-06-01,300,Health Condition 1: J851- Abscess of lung with pneumoniaHealth Condition 2: J168- Pneumonia due to other specified infectious organismsHealth Condition 3: J981- Pulmonary collapseHealth Condition 4: J99- Respiratory disorders in diseasesclassified elsewhereHealth Condition 5: J22- Unspecified acute lower respiratory infection,FALSE,FALSE,2019-05-14,N/A,Comfort during Bronchoscopy procedure,India,Department of Pulmonary Medicine and Sleep Disorders
im,CTRI/2019/07/020174,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=34335,"COMPARISON OF EFFICACY OF ORAL AMOXICILLIN VERSUS PARENTERAL CEPHALOSPORIN IN TREATMENT OF UNCOMPLICATED COMMUNITY ACQUIRED PNEUMONIA A PROSPECTIVE SINGLE BLINDED PARALLEL DESIGN,RANDOMIZED CONTROL TRIAL IN A TERTIARY CARE HOSPITAL OF METROPOLITAN    CITY.",Treatment,NA,"Randomized, Parallel Group Trial<br>  Method of generating randomization sequence:Coin toss, Lottery, toss of dice, shuffling cards etc  Method of allocation concealment:Sequentially numbered, sealed, opaque envelopes  Blinding and masking:Investigator Blinded",Yes,Yes,Yes,Yes,CTRI,Phase 3,No,No,No,Yes,No,No,2019-07-15,100,"Health Condition 1: J189- Pneumonia, unspecified organism",FALSE,FALSE,2019-07-15,Phase 2/ Phase 3,ORAL MEDICATION IS AS EFFECTIVE AS INJECTABLE  MEDICATION IN TREATMENT OF PNEUMONIA,India,DR SUSHANT S MANE
