study_arm,TrialID,url,Interventions,vaccine,conventional,traditional
main,ChiCTR1900022351,http://www.chictr.org.cn/showproj.aspx?proj=35137,GP IIb/IIIa group:tirofiban;LWMH group:enoxaparin;,NA,NA,NA
main,ChiCTR1900022488,http://www.chictr.org.cn/showproj.aspx?proj=37970,"Puerarin group:Puerarin capsule (50mg/time), 3 times a day + Statins;Control group:Statins;",NA,NA,NA
im,ChiCTR1900023507,http://www.chictr.org.cn/showproj.aspx?proj=31221,Experimental groups:Different anesthetic drugs; Intravenous ketamine was administered as soon as dexmedetomidine induction;,NA,NA,NA
main,ChiCTR1900023825,http://www.chictr.org.cn/showproj.aspx?proj=39847,Standard dual antibody group(A):Oral standard dose and time of dual antiplatelet drugs;Standard dose ticagrelor monoclonal antiplateletStandard dose tigrilol monoclonal antiplatelet:The duration of dual antiplatelet therapy was shortened to standard dose ticagrelor monoclonal antiplatelet therapy;Low dose ticagrelor monoclonal antiplatelet(C):The duration of dual antiplatelet therapy was shortened to low dose ticagrelor monoclonal antiplatelet therapy;,NA,NA,NA
im,ChiCTR1900024894,http://www.chictr.org.cn/showproj.aspx?proj=41373,S group:Moderate sedation with low dose propofol combined with sufentanil;Control group:Slow intravenous injection of propofol 1.5-2.5 mg/kg until the patient holds a 20 ml syringe and drops off;,NA,NA,NA
main,ChiCTR1900025842,http://www.chictr.org.cn/showproj.aspx?proj=43207,"Esperimental group:Standardized treatment of acute coronary syndrome + Tongxinluo capsule 4 capsules / time, 3 times / day, oral;Control group:Standardized treatment of acute coronary syndrome + Tongxinluo capsule placebo 4 capsules / time, 3 times / day, oral;",NA,NA,NA
main,ChiCTR1900026242,http://www.chictr.org.cn/showproj.aspx?proj=43382,Experimental group:subcutaneous injection of low molecular weight heparin;Control group:Symptomatic supportive treatment of traditional hepatoprotective and diuretic therapy;,NA,Yes,NA
main,ChiCTR1900026494,http://www.chictr.org.cn/showproj.aspx?proj=44030,Experimental group:Vitmin D3;Control group:D-Cal calcium;,NA,NA,NA
main,ChiCTR1900027146,http://www.chictr.org.cn/showproj.aspx?proj=45130,Ara-c+6-TG:Ara-c+6-TG;ATRA+RIF:ATRA+RIF;,NA,NA,NA
main,ChiCTR1900027678,http://www.chictr.org.cn/showproj.aspx?proj=44407,single arm:CD19/BCMA CAR-T therapy;,NA,NA,NA
im,ChiCTR1900028497,http://www.chictr.org.cn/showproj.aspx?proj=42626,Experimental group:Oseltamivir phosphate capsules +  Chai-shi-Tui-Re granules;Control Group:Oseltamivir phosphate capsules + Placebo of Chai-shi-Tui-Re granules;,NA,Yes,NA
covid,ChiCTR2000029813,http://www.chictr.org.cn/showproj.aspx?proj=49425,"Experimental group:Conventional Treatment & Tanreqing Capsules (oral, 3 capsules at a time, 3 times a day);Control Group:Conventional Treatment;",NA,NA,NA
covid,ChiCTR2000030033,http://www.chictr.org.cn/showproj.aspx?proj=49703,"Intervention group 1:Oral antiviral oral solution (Xiangxue Pharmaceutical);Intervention group 2:Oral ""Wu-Zhi-Fang-Guan-Fang"" decoction;Control group:Routine quarantine measures;",NA,NA,NA
covid,ChiCTR2000030089,http://www.chictr.org.cn/showproj.aspx?proj=49889,Experimental group:Conventional treatent and adalimumab;Control group:conventional treatment ;,NA,Yes,NA
covid,ChiCTR2000030170,http://www.chictr.org.cn/showproj.aspx?proj=50017,"severe NCP group:Routine standard therapy + Jacketinib hydrochloride tablets (oral, the first 3 subjects were given a dose of 50mg Bid for 7 consecutive days; the current 3 subjects had no grade =3 drug-related adverse effects within D8 days). In the event, subsequent subjects were given 100 mg Bid for 7 consecutive;Acute exacerbation NCP group:Routine standard therapy + Jacketinib hydrochloride tablets (oral, the first 3 subjects were given a dose of 50mg Bid for 7 consecutive days; the current 3 subjects had no grade =3 drug-related adverse effects within D8 days). In the event, subsequent subjects were given 100 mg Bid for 7 consecutive;",NA,NA,NA
covid,ChiCTR2000030469,http://www.chictr.org.cn/showproj.aspx?proj=50082,Control group:Coventional Treatment;Experimental group:Conventional treatment+LIUSHENWAN;,NA,NA,NA
covid,ChiCTR2000030804,http://www.chictr.org.cn/showproj.aspx?proj=51018,Exocarpium Citri Grandis Group:Oral Administration of Exocarpium Citri Grandis Phlegm Cough Solution;Placebo Group:Oral Administration of Placebo;,NA,NA,NA
covid,ChiCTR2000030944,http://www.chictr.org.cn/showproj.aspx?proj=50199,"Experimental group:On the basis of the current clinical treatment of SNCP, NK cells and MSCs were increased;Control group:current clinical treatment of SNCP;",NA,NA,NA
covid,ChiCTR2000031453,http://www.chictr.org.cn/showproj.aspx?proj=51859,Nintedanib group:Nintedanib;Control group:Placebo;,NA,NA,NA
covid,ChiCTR2000039000,http://www.chictr.org.cn/showproj.aspx?proj=62581,placebo group:placebo;vaccine group:vaccine;,Yes,NA,NA
im,CTRI/2017/09/009849,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=18803,"Intervention1: Group I: Enteral ivabradine 2.5 mg every 6 hours, titrated to heart rate.<br>Intervention2: Group I: Enteral ivabradine 2.5 mg every 6 hours, titrated to heart rate, in addition to standard treatment of septic shock.<br>Control Intervention1: Group S: standard therapy for septic shock<br>Control Intervention2: Group S: Standard treatment for septic shock<br>",NA,NA,NA
im,CTRI/2017/11/010688,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=11981,Intervention1: Inj. Sildenafil: 0.5mg/kg/dose over 3 hrs three times daily for 3 days or drop in Right ventricular systolic pressure to half the systemic pressure whichever is earlier<br>Control Intervention1: Normal Saline (0.9%): same dose as the intervention drug (sildenafil) for 3 days or drop in Right ventricular systolic pressure to half the systemic pressure whichever is earlier<br>,NA,NA,NA
main,CTRI/2019/01/017332,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=30522,"Intervention1: Zolpidem Tartrate: Zolpidem is indicated for the short-term treatment of insomnia. The treatment should be taken in a single intake and not be re-administered during the same night. The recommended daily dose for adults is 10 mg to be taken orally immediately at bedtime. The lowest effective daily dose of Zolpidem tartrate should be used and must not exceed 10 mg. The duration of treatment should usually vary from a few days to two weeks with a maximum of four weeks including tapering off where clinically appropriate. As with all hypnotics, long-term use is not recommended.<br>Dose : Daily 1 tablet orally in Night <br>Duration : 3 Weeks treatment/patient<br>Control Intervention1: Not Applicable: Not Applicable<br>",NA,NA,NA
main,CTRI/2019/02/017505,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31033,"Intervention1: Natural Killer cells: Single Infusion of optimized natural killer cells derived from haplo- identical family donors.<br>With unstimulated apheresis, we would expect about 109 to 1010 mononuclear cells being separated. Of these, about 10% would constitute NK cells. Thus after CD3 depletion and CD56 positive selection, we would have about 108 to 109 NK cells. The isolated NK cells (to a final concentration of not less than 2Ã?106/mL) will be suspended overnight in plasmalyte (50 to 100 mL) supplemented with 20% autologous plasma, 500 U/mL interleukin (IL)-2 (Aldesleuchina, ProleukinÂ®) and 1 Î¼M arsenic trioxide (ATO) at 37 Â°C<br>Control Intervention1: Not applicable: Not applicable<br>",NA,Yes,NA
main,CTRI/2019/02/017575,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31281,Intervention1: caudal analgesia: inj bupivacaine local anesthetic agent along with inj morphine 50 mcg/kg given in caudal epidural space as analgesia<br>Intervention2: thoracic epidural analgesia: with 20 g needle  24 g catheter insertedin T5-T7 epidural space.inj bupivacaine with inj fentanyl 3 mcg/kg/hr as infusion intra op and post operatively<br>Control Intervention1: intravenous analgesia: inj fentanyl infusion 2 mcg/kg.hr<br>,NA,Yes,NA
main,CTRI/2019/02/017661,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31293,"Intervention1: arka pratisaraneeya kshara: the whole plant of arka (calotropis procera)are burnt, the ash is collected and added water and reduced by heating and sankh nabhi, etc were mixed and final form of drug was obtained.<br>Control Intervention1: apamarga pratisaraneeya kshara: the whole plant of apamarga (achyranthes aspera linn.)are burnt, the ash is collected and added water and reduced by heating and sankh nabhi, etc were mixed and final form of drug was obtained.<br>",NA,NA,NA
main,CTRI/2019/04/018410,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=31674,Intervention1: group A: Nasya with bhringraj taila for a period of 45 days.<br>Dose: 6-8 drops Marsha<br>1-2 Drops Pratimarsha<br>In B/W the sitting of marsha pratimarsha will be given<br>Control Intervention1: group B: Nasya with double concentration bhringraj taila<br>,NA,NA,NA
main,CTRI/2019/04/018467,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=32630,"Intervention1: Gabapentin and Amitryptiline,in addition to<br>conventional DMARDs: Gabapentin will be administered<br>starting with a dose of 300mg once daily for 5 days followed by 300mg twice daily for 5 days and<br>finally 300mg three times daily to continue for 16 weeks till end of study. <br>Amitryptiline will be given in a dose of<br>10 mg daily at 8.00p.m. for 16 weeks till end of study.<br>Control Intervention1: continue only with Disease Modifying Anti Rheumatic Drugs: Methotraxate, Sulfasalazine, Hydroxychloroquine in recommended dose either singly or in combination<br>",NA,Yes,NA
main,CTRI/2019/04/018681,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=30558,"Intervention1: Inj zoledronic acid infusion at 1st week: Injection Zoledronic acid 5mg/100ml i.v. slowly over 1 hour at first week of fracture, dosage is once in a year<br>Control Intervention1: Inj Zoledrinic acid infusion at 6 weeks: Injection Zoledronic acid 5mg/100ml i.v. slowly over 1 hour at 6 weeks of fracture,dosage is once in a year<br>Control Intervention2: No Inj Zoledronic acid infusion: No Inj Zoledronic acid infusion to patients<br>",NA,NA,NA
main,CTRI/2019/05/018959,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=32290,Intervention1: Etelcalcetide (AMG 416): Etelcalcetide (AMG 416) IV TIW  (3 times per week)<br>Control Intervention1: Not Applicable: Not Applicable<br>,NA,NA,NA
im,CTRI/2019/05/019109,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=33492,Intervention1: 10 sprays of 10% topical lignocaine: 10 sprays of 10% topical lignocaine would be applied on the pharynx prior to flexible bronchoscopy and the outcomes would be assessed<br>Control Intervention1: 5 sprays of 10% topical lignocaine: 5 sprays of 10% topical lignocaine would be applied on the pharynx prior to flexible bronchoscopy and the outcomes would be assessed<br>,NA,Yes,NA
im,CTRI/2019/07/020174,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=34335,Intervention1: ORAL AMOXICILLIN<br>: 100 MG/KG/DAY TDS 7 TO 10 DAYS<br><br>Intervention2: INJECTABLE 3rd GENERATION CEPHALOSPORIN: 100 MG/KG/DAY BD FOR 7 TO 10 DAYS<br>Control Intervention1: INJECTABLE 3rd GENERATION CEPHALOSPORIN: 100 MG/KG/DAY BD FOR 7 TO 10 DAYS<br>,NA,NA,NA
main,CTRI/2019/08/020943,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=27713,"Intervention1: 1. NEXAGON High Dose Concentration<br>Other Name: CODA001<br><br>2. NEXAGON Low Dose Concentration<br>Other Name: CODA001: Applied under a bandage contact lens and to the fornices of the eye on multiple days over a 28-day Treatment Period. If corneal re-epithelialization occurs during the Treatment Period, the treatment will be withheld and the participant will enter a 28-day Follow-up Period to assess durability of the corneal epithelium.<br>NOTE: An additional application of open-label NEXAGON High Dose Concentration is available on the final day (Day 28) of the Treatment Period for those participants still present with a PED.<br><br><br>Intervention2: 2. NEXAGON Low Dose Concentration<br>Other Name: CODA001<br>: Applied under a bandage contact lens and to the fornices of the eye on multiple days over a 28-day Treatment Period. If corneal re-epithelialization occurs during the Treatment Period, the treatment will be withheld and the participant will enter a 28-day Follow-up Period to assess durability of the corneal epithelium.<br>NOTE: An additional application of open-label NEXAGON High Dose Concentration is available on the final day (Day 28) of the Treatment Period for those participants still present with a PED.<br><br>Control Intervention1: NEXAGON Vehicle (placebo): Applied under a bandage contact lens and to the fornices of the eye on multiple days over a 28-day Treatment Period. If corneal re-epithelialization occurs during the Treatment Period, the treatment will be withheld and the participant will enter a 28-day Follow-up Period to assess durability of the corneal epithelium.<br>NOTE: An additional application of open-label NEXAGON High Dose Concentration is available on the final day (Day 28) of the Treatment Period for those participants still present with a PED.<br><br>",NA,NA,NA
covid,CTRI/2020/06/025650,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=44412,Intervention1: Joshanda (Decoction) and Khameera Marwareed: Joshanda (Decoction) of the following<br><br>1. Behidana (Cydonia oblonga) 3 gm<br>2. Unnab (Zizyphus jujube)<br>5 in number <br>3. Sapistan (Cordia myxa)<br>9 in numbers<br><br>Dose: 125 ml OD morning<br>Route of Administration: Orally<br><br>and<br><br>Khameera Marwareed<br><br>Dose: 5g OD morning<br>Route of Administration: Orally<br>Control Intervention1: NIL: Subjects not receiving Unani prophylactic regimen<br>,NA,NA,NA
covid,CTRI/2020/06/025998,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=44707,Intervention1: Raj Nirwan Bati capsule: 1. Mercury (Para)<br>2. Sulphur (Gandhak)<br>3. Gold (Sona)<br>4. Silver (Chandi)<br>5. Clamina Perpeta<br>6. Arsenic Trioxide (Hartal Bhasma)<br>7. Black pepper (Kaali Mirch)<br>8. Naag Damanti (Snake Plant)<br>9. Celery (Azwaiyan)<br>10. Zinc<br>11. Niramish (Mahamash oil)<br><br>One Raj Nirwan Bati capsule of 125 mg (1 Ratti) twice a day empty stomach for 12 days<br>Control Intervention1: Placebo: Sugar gelatin capsule<br>with 4 small balls of sugar <br>twice a day empty stomach for 12 days<br>,NA,NA,NA
covid,CTRI/2020/07/026471,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45318,Intervention1: Kaba Sura Kudineer: 60ml BD for 14 days<br>Intervention2: Tab. Amukkarachooranam: 2 BD for 14 days<br>Intervention3: Tab. Athimathuram: 2 BD for 14 Days<br>Intervention4: Tab. Brahmanandha Bairavam: 100mg 1BD for 14 days<br>Intervention5: Adathodai Manappagu: 10ml with 30ml water  BD for 14 days<br>Intervention6: Thippili Rasayanam: 5gm BD for 14 days<br>Intervention7: Notchi Kudineer: 60ml BD for 14 Days<br>Control Intervention1: Not Applicable: Not Applicable<br>,NA,NA,NA
covid,CTRI/2020/07/026514,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45580,"Intervention1: Resveratrol-Copper tablets: Patients will be administered orally, tablets of R-Cu containing 5.6 mg of Resveratrol and 560 ng of copper, 1 tablet once every 6 hours, from the date of randomization till the day of discharge, or death, whichever is earlier. They will also receive the Standard Treatment<br>Intervention2: Chlorophyllin tablets: Patients will be administered orally, tablets of chlorophyllin, 1 tablet of 750 mg once every day, on empty stomach in the morning, from the date of randomization till the day of discharge, or death, whichever is earlier. They will also receive the Standard Treatment .<br>Control Intervention1: Standard treatment: Patients in this arm can receive all standard treatment that the treating team considers appropriate including any other antibiotic, antibacterial, antiviral or antimicrobial drugs. However, patients in this arm cannot receive Resveratrol -Copper treatment. The treatment proptocol will be in sync with the emerging scientific evidence and evolving national guidelines<br>",NA,Yes,NA
covid,CTRI/2020/07/026789,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=45111,"Intervention1: ArtemiC medical spray: ArtemiC is a Oromucosal  medical spray combined of Artemisinin (6 mg/ml), Curcumin (20 mg/ml), Frankincense (15 mg/ml) and vitamin C (60 mg/ml) in spray administration.<br>given as add-on therapy, 2 times a day, on Days 1 and 2.Each dose contains 1ml (10 puffs-pushes on the spray bottle) , total daily dose 2ml (20 puffs- pushes on the spray bottle).The total treatment is 40 puffs for 2 days.<br>Control Intervention1: Placebo: Placebo is a Oromucosal  medical spray will be given as add-on therapy, 2 times a day, on Days 1 and 2.<br>Each dose contains 1ml (10 puffs-pushes on the spray bottle) , total daily dose 2ml (20 puffs- pushes on the spray bottle).The total treatment is 40 puffs for 2 days.<br>",NA,NA,Yes
covid,CTRI/2020/08/027038,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=46197,Intervention1: Triozone: 1 ml of trio zone mixed with 4 ml of normal saline given 3 times a day from nasal route   . a cumulative 5ml  single dose is used for nebulisation by nasal route once a day  .<br>Control Intervention1: Placebo: 5ml of 0.9 % normal saline will be used as placebo given by nasal route . thrice  a day  at same doses of trial drug. Normal saline do not have any effects over virus replication and free of any side effects.<br>,NA,NA,NA
covid,CTRI/2020/08/027503,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=44980,Intervention1: Aspirin: Low dose aspirin (75 mg OD) for 10 days along with standard of care<br>Control Intervention1: Standard of Care: Standard of care will included standard practice of the institute at that time<br>,NA,NA,NA
covid,CTRI/2020/09/027904,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=47392,Intervention1: Autologous whole blood injection: 2.5 ml of blood will be drawn from a vein in the cubital fossa with a 20G needle and a 5 ml syringe and the drawn blood will be<br>immediately (within 2 minutes) injected intramuscularly into the gluteal muscle of the same subject (once a day) from whom the blood was drawn on day on Day 1 and Day 3.<br>Control Intervention1: Standard therapy for Covid therapy: Treatment protocol for Covid 19 infection will be followed as per ICMR recommendations<br>,NA,NA,NA
covid,CTRI/2020/09/028088,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=47829,"Intervention1: Colchicine, Aspirin and Montelukast: Intervention: The intervention arm will receive, in addition to the standard of care, the following drugs:<br>	Colchicine - 0.6 mg per oral, 12 hourly till discharge<br>	Aspirin - 325 mg per oral 6 hourly till discharge<br>	Montelukast - 10 mg per oral once a day till discharge<br><br>Control Intervention1: Standard of Care: Standard of Care in Covid-19<br>",NA,NA,NA
covid,CTRI/2020/10/028277,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=47691,"Intervention1: Thymosin Î±-1-1.6 mg Injection <br> along with SOC: Each vial contains : Thymosin Alpha 1-1.6mg<br>Excipients...... q.s (Lyophilized)<br>Sterile water for Injections IP 1ml Ampoule<br>Manufactured by: Gufic Biosciences Ltd., India<br>Dose:Thymosin Î±-1-1.6 mg x 2 injections<br>Frequency: Twice daily(Moderate)and Thrice daily (Severe)<br>Route of administration: Subcutaneous <br>Total Duration 7 days<br><br><br>Control Intervention1: Placebo Injection along with SOC: Each vial contains : Excipients...... q.s (Lyophilized)<br>Sterile water for Injections IP 1Ml Ampoule<br>Manufactured by: Gufic Biosciences Ltd., India<br>Dose: Placebo x 2 injections<br>Frequency: Twice daily(Moderate)and Thrice daily (Severe)<br>Route of administration: Subcutaneous <br>Total Duration 7 days<br><br><br>",NA,NA,NA
covid,CTRI/2020/10/028635,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=48783,Intervention1: Virunil 500mg Capsules: 1500mg per day in divided doses (3doses per day) with water.<br>for up to maximum of 10 days. Mode of Administration: Oral<br><br>Control Intervention1: Standard Supportive Care: These patients will be managed by standard supportive care.<br>,NA,NA,NA
im,DRKS00017475,http://www.drks.de/DRKS00017475,Intervention 1: The intervention group receives human albumin intravenously. The dose begins with a starting dose of 60 g of human albumin 20% for 2-3 h and is from study day 1 after randomization depending on the albumin serum value:<br>= 30 g / l: no administration<br>= 25 g / l and <30 g / l: 40 g for 1-2 h<br>= 20 g / l and <25 g / l: 60 g for 2-3 h<br><20 g / l: 80 g over 3-4 h<br>customized.<br>The duration of the application is a maximum of 28 days after randomization. Intervention 2: The control group will receive the standard therapy of septic shock with any crystalloids as volume replacement therapy of first choice.,NA,NA,NA
im,EUCTR2006-005558-63-IT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-005558-63,<br>Trade Name: FLUAD<br>Product Name: FLUAD<br>Pharmaceutical Form: Suspension for injection in pre-filled syringe<br>INN or Proposed INN: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg microgram(s)<br>Concentration type: not less then<br>Concentration number: 15-<br>INN or Proposed INN: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg microgram(s)<br>Concentration type: not less then<br>Concentration number: 15-<br>INN or Proposed INN: B/ -LIKE VIRUS ANTIGEN<br>Other descriptive name: B/ -LIKE VIRUS ANTIGEN<br>Concentration unit: µg microgram(s)<br>Concentration type: not less then<br>Concentration number: 15-<br><br>Trade Name: Agrippal<br>Product Name: Agrippal<br>Pharmaceutical Form: Solution for injection in pre-filled syringe<br>INN or Proposed INN: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg microgram(s)<br>Concentration type: not less then<br>Concentration number: 15-<br>INN or Proposed INN: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg microgram(s)<br>Concentration type: not less then<br>Concentration number: 15-<br>INN or Proposed INN: B/ -LIKE VIRUS ANTIGEN<br>Other descriptive name: B/ -LIKE VIRUS ANTIGEN<br>Concentration unit: µg microgram(s)<br>Concentration type: not less then<br>Concentration number: 15-<br><br>,NA,NA,NA
im,EUCTR2013-004614-18-LT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2013-004614-18,<br>Trade Name: Zevtera©<br>Pharmaceutical Form: Powder for concentrate for solution for infusion<br>INN or Proposed INN: Ceftobiprole medocaril sodium<br>CAS Number: 252188-71-9<br>Current Sponsor code: BAL5788-001<br>Other descriptive name: CEFTOBIPROLE MEDOCARIL SODIUM<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 666.6-<br><br>,NA,NA,NA
