TrialID,url,Scientific_title,Primary_sponsor,sponsor_type
NCT03938272,https://clinicaltrials.gov/show/NCT03938272,An Open-label Single-arm Treatment Extension Study to Evaluate the Long-term Efficacy and Safety of Oxabact for Patients With Primary Hyperoxaluria Who Completed Study OC5-DB-02,OxThera,NA
NCT04092686,https://clinicaltrials.gov/show/NCT04092686,"A Randomized, Double-blind, Parallel-group, Placebo-controlled, Fixed-dose, Multicenter Study to Evaluate the Efficacy and Safety of SEP-363856 in Acutely Psychotic Subjects With Schizophrenia",Sunovion,NA
NCT03966170,https://clinicaltrials.gov/show/NCT03966170,Efficacy of Citicoline as Neuroprotector in Preterm; A Randomized Controlled Trial,Sherief Abd-Elsalam,NA
NCT03896685,https://clinicaltrials.gov/show/NCT03896685,Evaluating Newly Approved Drugs in Combination Regimens for Multidrug-Resistant TB With Fluoroquinolone Resistance (endTB-Q),"Médecins Sans Frontières, France",NA
NCT04044859,https://clinicaltrials.gov/show/NCT04044859,A Phase 1 Dose Escalation Study To Assess Safety And Efficacy Of ADP-A2M4CD8 In HLA-A2+ Subjects With MAGE-A4 Positive Tumors,Adaptimmune,NA
NCT04096911,https://clinicaltrials.gov/show/NCT04096911,"A Single-arm, Single-center, Phase II Clinical Study Evaluating Efficacy of PD-1 Monoclonal Antibody Combined With HPV Vaccine in the Patients With Cervical Cancer(CC)Who Fails in or Can Not Endure the Standard Treatment",Buhai Wang,NA
NCT04148118,https://clinicaltrials.gov/show/NCT04148118,"A Phase 1 Randomized, Observer-Blind, Active- and Placebo-Controlled Dose Comparison, Safety, Tolerability and Immunogenicity Study of Intranasal Adjuvanted Anthrax Vaccine (BW-1010; rPA + 20%W805EC) in Healthy Adult Volunteers Administered by Nasal Sprayer and Pipette With an Additional Unblinded Positive Control Arm",BlueWillow Biologics,NA
NCT03958890,https://clinicaltrials.gov/show/NCT03958890,"A Randomized, Double-blind, Multicenter, Phase III Clinical Trial Comparing HLX10 (Recombinant Anti-pd-1 Humanized Monoclonal Antibody Injection) With Placebo Combined With Chemotherapy (Cisplatin + 5-fu) in the First-line Treatment of Locally Advanced/Metastatic Esophageal Squamous Cell Carcinoma (ESCC)",Shanghai Henlius Biotech,NA
NCT03876717,https://clinicaltrials.gov/show/NCT03876717,Treatment Effect of Colesevelam for Bile Acid Diarrhoea - a Randomised Placebo-controlled Trial,Lars Kristian Munck,NA
NCT03825367,https://clinicaltrials.gov/show/NCT03825367,A Phase I/II Study of Nivolumab in Combination With 5-azacytidine in Pediatric Patients With Relapsed/Refractory Acute Myeloid Leukemia (BMS Reference CA209-9JY),Therapeutic Advances in Childhood Leukemia Consortium,NA
NCT03887377,https://clinicaltrials.gov/show/NCT03887377,"The Efficacy and Molecular Mechanism of Botulinum Toxin in the Reduction of Breast Reduction Mammoplasty Scar Formation: A Prospective, Controlled, Randomized, Double-blinded Study",Henry Ford Health System,NA
NCT04067011,https://clinicaltrials.gov/show/NCT04067011,A Phase 2 Drug-Vaccine Interaction Study to Examine Whether Co-administering AV7909 With Ciprofloxacin or Doxycycline Affects Antibiotic Pharmacokinetics or AV7909 Immunogenicity in Healthy Adults,Emergent BioSolutions,NA
NCT03941574,https://clinicaltrials.gov/show/NCT03941574,"A Single-arm, Multi-center, Phase ? Clinical Study to Evaluate the HLX10 Monotherapy for the Treatment of Unresectable or Metastatic Microsatellite Instability-high (MSI-H) or Mismatch Repair Deficient (dMMR) Solid Tumors That Failed to Respond to Standard Therapy",Shanghai Henlius Biotech,NA
NCT04093167,https://clinicaltrials.gov/show/NCT04093167,"A Biomarker-Directed, Open Label, Multi-Centre Phase II Study of Molecular Response Adaptive Immuno-Chemotherapy in Patients With Non-Small Cell Lung Cancer",Canadian Cancer Trials Group,NA
NCT04157686,https://clinicaltrials.gov/show/NCT04157686,"A Multicenter, Long-term, Open-label Study to Evaluate the Safety of MT10109L (NivobotulinumtoxinA) for the Treatment of Glabellar Lines and Lateral Canthal Lines",Allergan,NA
NCT03994965,https://clinicaltrials.gov/show/NCT03994965,Identification of a Serotonin 2A Receptor Subtype of Schizophrenia Spectrum Disorders With Pimavanserin: The Sub-Sero Proof-of-principle Study,Bjorn H. Ebdrup,NA
NCT04172220,https://clinicaltrials.gov/show/NCT04172220,"Variation of the Neutrophil To Lymphocyte Ratio During Opioid-Free General Anesthesia Associated With Thoracic Wall Blocks Vs General Anesthesia, in Breast Cancer Quadrantectomy: a Randomized Controlled Trial",Centro di Riferimento Oncologico - Aviano,NA
NCT04149678,https://clinicaltrials.gov/show/NCT04149678,"A Phase 1, Randomized, Parallel-group, Open-label Study to Evaluate the Effect of Cyclosporine on the Single-dose Pharmacokinetics of Ozanimod and Major Active Metabolites in Healthy Adult Subjects",Celgene,NA
NCT03981627,https://clinicaltrials.gov/show/NCT03981627,"A Randomized, Single-centre, Double-blind, 2-period Cross-over Trial to Assess Safety and Efficacy of ADO09 Versus Insulin Aspart in Subjects With Type 1 Diabetes Mellitus",Adocia,NA
NCT03868423,https://clinicaltrials.gov/show/NCT03868423,Phase II Study of Brigatinib for Advanced Solid Cancers Harboring Genomic Alterations in ALK (Excluding Lung) and ROS1 Oncogenes,Sameek Roychowdhury,NA
NCT04112147,https://clinicaltrials.gov/show/NCT04112147,"A Randomized, Double-Blind, Dosing-Ranging, Placebo-controlled Trial of Antroquinonol in Patients With Chronic Hepatitis B",Cheng-Chung Wei,NA
NCT04124497,https://clinicaltrials.gov/show/NCT04124497,"Daratumumab, Pomalidomide and Dexamethasone for Del(17p) Positive Relapsed and Relapsed/Refractory Multiple Myeloma Patients [DEDALO]",Fondazione Neoplasie Sangue Onlus,NA
NCT03944759,https://clinicaltrials.gov/show/NCT03944759,Efficacy of Serratus Anterior Plane Block Using Bupivacaine/Magnesium Sulphate Versus Bupivacaine/Nalbuphine for Mastectomy: a Randomized Double Blinded Comparative Study,doaa rashwan,NA
NCT03835676,https://clinicaltrials.gov/show/NCT03835676,Effects of Treprostinil on Right Ventricular Structure and Function in Patients With Pulmonary Arterial Hypertension,Magdi H. Yacoub,NA
NCT03909594,https://clinicaltrials.gov/show/NCT03909594,Ultrasound Guided Fascia Iliaca Nerve Block With Bupivacaine and Adjuvant Ketamine vs. Bupivacaine Alone in Patients With Hip or Femur Fracture: a Double Blind Randomized Clinical Trial (BupiKet),Antonios Likourezos,NA
NCT03971825,https://clinicaltrials.gov/show/NCT03971825,"A Phase 1, Randomized, 3-Part Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Single and Multiple Ascending Doses of CC-92252 in Healthy Adult Subjects and Adult Subjects With Psoriasis.",Celgene,NA
NCT04012775,https://clinicaltrials.gov/show/NCT04012775,"An Open-label, Randomized, Multi-center, Parallel-group Clinical Trial Comparing the Efficacy and Safety of Rinsulin® NPH (Geropharm, Russia) With Humulin® NPH (Lilly France, France) in Type 2 Diabetes Mellitus Patients",Geropharm,NA
NCT03756220,https://clinicaltrials.gov/show/NCT03756220,"Combination Therapy of Vitamin C and Thiamine for Septic Shock: Multi-center, Double-blinded, Randomized, Controlled Study",Tae Gun Shin,NA
NCT03340727,https://clinicaltrials.gov/show/NCT03340727,Randomized Controlled Trial of Home Therapy With Caffeine Citrate in Moderately Preterm Infants With Apnea of Prematurity,NICHD Neonatal Research Network,NA
NCT03494959,https://clinicaltrials.gov/show/NCT03494959,Pentaglobin as Early Adjuvant Treatment for Febrile Neutropenia in Acute Leukemia or Allogeneic Hematopoietic Stem Cell Transplant Patients Colonized by Carbapenem-resistant Enterobacteriaceae (CRE) or Pseudomonas Aeruginosa (PA),Gruppo Italiano Trapianto di Midollo Osseo,NA
NCT03086473,https://clinicaltrials.gov/show/NCT03086473,"A Randomized, Placebo-controlled Trial of Early Caffeine in Preterm Neonates",Jennifer Shepherd,NA
NCT03460743,https://clinicaltrials.gov/show/NCT03460743,"Evaluation of the Immunogenicity, Relative Efficacy, Safety and Reactogenicity of Flublok Quadrivalent® (Quadrivalent Recombinant Influenza Vaccine, Seasonal Formulation) Compared With a Marketed Quadrivalent Vaccine in Healthy Children and Adolescents Aged 3 to 17 Years-old.",Laboratorios Liomont,NA
NCT03197376,https://clinicaltrials.gov/show/NCT03197376,"A Phase 3, Randomized, Double-Blind Study of the Safety, Tolerability, Lot-to-Lot Consistency, Immunogenicity & Non-Interference With Concomitant Vaccinations of Serum Institute of PNEUMOSIL in Healthy Infants in The Gambia",PATH,NA
NCT03206346,https://clinicaltrials.gov/show/NCT03206346,"Randomised Double-blind Placebo Controlled Multicenter Clinical Trial of Efficacy and Safety of Ingavirin® Capsules 30mg, in Daily Dose 60mg for the Treatment of Influenza and Other Acute Respiratory Viral Infections at Patients 13-18 y.o.",Valenta Pharm JSC,NA
NCT03163615,https://clinicaltrials.gov/show/NCT03163615,"A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Evaluate the Effect of Tibet Rhodiola Capsule on Hypoxia and Cardiovascular Risk Factors in Patients With Obstructive Sleep Apnea: A Pilot Trial",Shao-Ping Nie,NA
NCT03609099,https://clinicaltrials.gov/show/NCT03609099,Adequate Duration of Antibiotic Treatment in Community-acquired Pneumonia With High Risk Class and Adequate Initial Clinical Response,David Garcia Cinca,NA
NCT04199364,https://clinicaltrials.gov/show/NCT04199364,Comparison of Two Fraction Oxygen Inspired (FiO2) Thresholds for the Surfactant Administration in Preterm Infants With Respiratory Disease Syndrome: a Single-center Randomized Phase IV Clinical Trial,Virgilio Paolo Carnielli,NA
NCT03694808,https://clinicaltrials.gov/show/NCT03694808,Non-inferiority Study of Adjuvanted vs. High Dose Flu Vaccine in Residents of Long Term Care,David H. Canaday,NA
NCT03400735,https://clinicaltrials.gov/show/NCT03400735,Comparison of Cefdinir and Cefdinir/Clavulanic Acid Combination in Treatment of Acute Exacerbation of Chronic Bronchitis (AECB) and Community-acquired Pneumonia (CAP) in Adults,Neutec Ar-Ge San ve Tic A.S,NA
NCT02730624,https://clinicaltrials.gov/show/NCT02730624,Population Pharmacokinetics and Pharmacodynamics Study of Piperacillin/Tazobactam During Early Phase in Critically Ill Patients With Severe Sepsis,Sutep Jaruratanasirikul,NA
NCT02918006,https://clinicaltrials.gov/show/NCT02918006,"Phase 2 Randomized, Controlled, Human Influenza A (H1N1) Challenge Study Following Administration of an Oral H1N1 HA Adenoviral-Vector Based Seasonal Influenza Vaccine and dsRNA Adjuvant to Healthy Adult Volunteers",Vaxart,NA
NCT03497845,https://clinicaltrials.gov/show/NCT03497845,"Randomized, Double-Blinded, Phase 2 Study to Assess Safety and Immunogenicity of Homologous and Heterologous Prime-Boost Vaccination Strategies With Stockpiled Inactivated Monovalent Influenza A(H5) Vaccines Administered Intramuscularly With Either AS03 or MF59® as Adjuvant",Biomedical Advanced Research and Development Authority,NA
NCT02903836,https://clinicaltrials.gov/show/NCT02903836,"A Phase II, Randomized, Double-Blind, Multicenter, Comparative Study to Determine the Safety, Tolerability, Pharmacokinetics and Efficacy of Oral Nafithromycin Versus Oral Moxifloxacin in the Treatment of Community-Acquired Bacterial Pneumonia (CABP) in Adults",Wockhardt,NA
NCT02685618,https://clinicaltrials.gov/show/NCT02685618,"Safety and Efficacy of Low-dose Prostacyclin Administration and Blood Pressure Target in Addition to Standard Therapy, as Compared to Standard Therapy Alone, in Post-cardiac-arrest-syndrome Patients - a Randomized, Controlled, Double-blinded Investigator-initiated Trial.",Pär Johansson,NA
NCT03283319,https://clinicaltrials.gov/show/NCT03283319,"Randomized, Double-Blinded, Phase 2 Study to Assess Safety and Immunogenicity of Panblok H7 Vaccine at Three Antigen Dose Levels Adjuvanted With AS03® or MF59®",Biomedical Advanced Research and Development Authority,NA
NCT03300050,https://clinicaltrials.gov/show/NCT03300050,"A Phase 1, Randomized, Controlled, Observer-blind Study to Assess the Reactogenicity, Safety, and Immunogenicity of a Live Attenuated Universal Influenza Vaccine (cH8/1N1 LAIV) Administered as a Single Priming Dose Followed Three Months Later by a Single Booster Dose of an Inactivated Universal Influenza Vaccine (cH5/1N1 IIV) (Adjuvanted With AS03A or Unadjuvanted) in 18 Through 39 Year-old Healthy Subjects, Contrasted With a Two Dose Schedule of an Inactivated Universal Influenza Vaccine (cH8/1N1 IIV + AS03A Followed Three Months Later by cH5/1N1 IIV + AS03A)",PATH,NA
NCT03104075,https://clinicaltrials.gov/show/NCT03104075,Genomics and Epigenomics of the Elderly Response to Pneumococcal Vaccines,The Jackson Laboratory,NA
NCT02760420,https://clinicaltrials.gov/show/NCT02760420,"Double-blind Randomized Controlled Clinical Trial of 3 Days of Amoxicillin Disperable Tablet (DT) Versus Placebo for Fast Breathing Childhood Pneumonia Among Children 2-59 Months of Age Presenting to Kamuzu Central Hospital in Lilongwe, Malawi",Save the Children,NA
NCT03042143,https://clinicaltrials.gov/show/NCT03042143,"Repair of Acute Respiratory Distress Syndrome by Stromal Cell Administration (REALIST): An Open Label Dose Escalation Phase 1 Trial Followed by a Randomized, Double-blind, Placebo-controlled Phase 2 Trial (COVID-19)",Belfast Health and Social Care Trust,NA
NCT04198883,https://clinicaltrials.gov/show/NCT04198883,SINGaporean Program Performed With an eXPANsion Medical Device,CellProthera,NA
NCT03773822,https://clinicaltrials.gov/show/NCT03773822,"Low Dose of Hydrocortisone and Fludrocortisone in Adult Cardiogenic Shock. A Multicenter, Prospective, Double-blind, Randomized, Placebo-controlled Study",CMC Ambroise Paré,NA
NCT03346681,https://clinicaltrials.gov/show/NCT03346681,N-Acetyl-cysteine in Early Acute Respiratory Distress Syndrome,Palmetto Health,NA
NCT03401398,https://clinicaltrials.gov/show/NCT03401398,Stress Hydrocortisone In Pediatric Septic Shock,Jerry Zimmerman,NA
NCT03365336,https://clinicaltrials.gov/show/NCT03365336,Indian Herbal Medicine for Influenza - Randomized Controlled Study,Organic India,NA
NCT03622450,https://clinicaltrials.gov/show/NCT03622450,The Effect of Colistin Inhalation on the Clinical Outcome of Patients With Ventilator Associated Pneumonia,Nourhan Hassan Osama Thuraya Mohamed,NA
NCT04106817,https://clinicaltrials.gov/show/NCT04106817,"A Phase I, Open-label, Ascending Dose Study to Determine the Safety and Reactogenicity of a Wild Type Seasonal A/California/ H1N1 2009 Influenza Challenge Virus in Healthy Volunteers, Following a Single Intranasal Administration",WCCT Global,NA
NCT02678195,https://clinicaltrials.gov/show/NCT02678195,"Double-blind Randomized Controlled Clinical Trial of 3 Days Versus 5 Days Amoxicillin Dispersible Tablets for Chest-indrawing Childhood Pneumonia Among Children 2-59 Months of Age Presenting to Kamuzu Central Hospital in Lilongwe, Malawi",Save the Children,NA
NCT02774044,https://clinicaltrials.gov/show/NCT02774044,Evaluating the Efficacy and Safety of an Innovative and Affordable Goat Lung Surfactant for the Treatment of Respiratory Distress Syndrome in Preterm Neonates: a Multi-site Randomized Clinical Trial,Ramesh K Agarwal,NA
NCT03450707,https://clinicaltrials.gov/show/NCT03450707,Thiamine as a Metabolic Resuscitator After Cardiac Arrest,Michael Donnino,NA
NCT03104790,https://clinicaltrials.gov/show/NCT03104790,Assessment of Viral Shedding in Children Previously in Receipt of Multiple Doses of Live Attenuated Influenza Vaccine (LAIV) Compared to Influenza Vaccine-naïve Controls,Public Health England,NA
NCT04089072,https://clinicaltrials.gov/show/NCT04089072,Methylene Blue as a Third-line Vasopressor in Septic Shock to Maintain Hemodynamics,Carilion Clinic,NA
NCT02739568,https://clinicaltrials.gov/show/NCT02739568,"Efficacy and Safety of Pitolisant (BF2.649) in the Treatment of Excessive Daytime Sleepiness in Patients With Obstructive Sleep Apnea Syndrome, Treated or Not by Nasal Continuous Positive Airway Pressure, But Still Complaining of Excessive Daytime Sleepiness",Bioprojet,NA
NCT03896477,https://clinicaltrials.gov/show/NCT03896477,"A Phase 3, Randomized, Observer-Blind Study to Evaluate the Safety, Tolerability, Immunogenicity of Serum Institute of India's 10-Valent Pneumococcal Conjugate Vaccine Administered in a 2+1 Schedule to Healthy Infants in The Gambia",PATH,NA
NCT03091894,https://clinicaltrials.gov/show/NCT03091894,Dexmedetomidine Added to Propofol for Drug Induced Sleep Endoscopy in Adult Patients With Obstructive Sleep Apnea: A Prospective Randomized Controlled Trial,Essam Fathi,NA
NCT03749525,https://clinicaltrials.gov/show/NCT03749525,Effect of Shenfu Injection on Arterial Vascular Reactivity in Patients With Septic Shock,Jianfeng Xie,NA
NCT03978559,https://clinicaltrials.gov/show/NCT03978559,A Prospective Randomized Controlled Study to Compare Efficacy of Caspofungin Combined With Trimethoprim-sulfamethoxazole Versus Trimethoprim/Sulfamethoxazole as First-line Therapy in Non-HIV Patients With Severe Pneumocystis Pneumonia,Bin Du,NA
NCT03718507,https://clinicaltrials.gov/show/NCT03718507,"A Single-centre, Randomized Pilot Study on the Effects of Different Premedication Treatments for Less Invasive Surfactant Administration (LISA) on Pain, Cerebral Tissue Oxygenation and Cortisol Levels in Preterm Infants",ASST Fatebenefratelli Sacco,NA
NCT03685214,https://clinicaltrials.gov/show/NCT03685214,Comparison of Balanced Crystalloids and Normal Saline in Septic Patients,ZhiYong Peng,NA
NCT04057872,https://clinicaltrials.gov/show/NCT04057872,PILOT STUDY in the Use of Therapeutic Plasma Exchange in Adult Patients With Severe Sepsis,"Alberta Health Services, Calgary",NA
NCT03990467,https://clinicaltrials.gov/show/NCT03990467,Observed Pharmacokinetic of Piperacillin/Tazobactam in ICU Patients Compared to Therapeutic Drug Monitoring of Amikacin,Hospices Civils de Lyon,NA
NCT03968640,https://clinicaltrials.gov/show/NCT03968640,Efficacy of Coenzyme Q10 Supplementation on Multi-Organ Dysfunction in Severely Burned Patients,American Burn Association,NA
NCT03315104,https://clinicaltrials.gov/show/NCT03315104,"A Randomized, Double-Blind, Placebo-Controlled Dose Ranging Study Evaluating Safety, Pharmacokinetics and Clinical Benefit of FLU-IGIV in Hospitalized Patients With Serious Influenza A Infection",Emergent BioSolutions,NA
NCT02878031,https://clinicaltrials.gov/show/NCT02878031,"Community Case Management of Chest Indrawing Pneumonia With Oral Amoxicillin in Children Aged 2-59 Months Old by Community Oriented Resources Persons (CORPs) in Niger State, Nigeria",Malaria Consortium,NA
NCT02837835,https://clinicaltrials.gov/show/NCT02837835,Comparison of Lung Concentrations of Ceftazidime Administered by Continuous Versus Intermittent Infusion in Patients With Ventilator-associated Pneumonia,CHU de Reims,NA
NCT03492736,https://clinicaltrials.gov/show/NCT03492736,"Does Melatonin Improve Neurocognitive Function, Cardiovascular Outcomes and Control of Breathing in Untreated Obstructive Sleep Apnea?",Naomi Deacon,NA
NCT03790176,https://clinicaltrials.gov/show/NCT03790176,"Plasma, ELF and Intraperitoneal Pharmacokinetics of Ceftazidime/Avibactam in Critically Ill and Peritoneal Dialysis Patients",Markus Zeitlinger,NA
NCT03669627,https://clinicaltrials.gov/show/NCT03669627,A Randomized Controlled Observer Blind Trial to Compare the Immunogenicity and Acceptability of a MF59-adjuvanted Influenza Vaccine Compared to an Inactivated Influenza Vaccine as a Preferred Influenza Vaccine Priming Strategy for Naive Infants 6 to <24 Months of Age,Canadian Immunization Research Network,NA
NCT02768740,https://clinicaltrials.gov/show/NCT02768740,"Double Blinded, Randomized Trial, Comparing Intravenous Bolus of 50 mg of Hydrocortisone Every 6 Hours for 7 Days With a Continuous Infusion of 300 mg Per Day of Hydrocortisone 300-mg Group During 5 Days in the Treatment of Septic Shock.",Association Niçoise de Réanimation Médicale,NA
NCT03824457,https://clinicaltrials.gov/show/NCT03824457,"Open-label, Randomized, Controlled, With Blind Assessor, Study to Assess Efficacy and Safety of Rheosorbilact®, Solution for Infusion (Yuria-Pharm), in Comparison With Ringer's Lactate,Solution for Infusion, in a Complex Therapy of Pneumonia.",Yuria-Pharm,NA
NCT03336619,https://clinicaltrials.gov/show/NCT03336619,"A Phase III, Randomized, Double-Blind, Placebo Controlled Trial to Evaluate the Efficacy and Safety of Nitazoxanide in the Treatment of Uncomplicated Influenza",Romark Laboratories L.C.,NA
NCT02790164,https://clinicaltrials.gov/show/NCT02790164,Continuous Neuromuscular Blocking Agent for out-of Hospital Cardiac Arrest; Multicenter Randomized Controlled Trial,Chun Song Youn,NA
NCT03208257,https://clinicaltrials.gov/show/NCT03208257,Esmolol to Control Adrenergic Storm in Septic Shock- ROLL-IN 2,Samuel Brown,NA
NCT03849560,https://clinicaltrials.gov/show/NCT03849560,"A Multicenter, Double-Blind, Randomized, Comparative Study of Safety, Reactogenicity, Immunogenicity, and Efficacy of Quadrivalent Inactivated Subunit Influenza Vaccine Grippol® Quadri (NPO Petrovax Pharm, LLC, Russia) and Trivalent Inactivated Polymer-Subunit Vaccine Grippol® Plus (NPO Petrovax Pharm, LLC, Russia) in Parallel Groups, in Volunteers of 18 to 60 Years Old.",NPO Petrovax,NA
NCT03845023,https://clinicaltrials.gov/show/NCT03845023,"Phase 2, Placebo-Controlled, Parallel Group Dose-Finding Study to Evaluate the Efficacy and Safety of Three Dose Levels of AD036 in Adults With Obstructive Sleep Apnea",Apnimed,NA
NCT03892122,https://clinicaltrials.gov/show/NCT03892122,Randomised Monocentric -Controlled Study to Evaluate the Efficacy and Stability of Dexmedetomidine Sedation Compared to Propofol Sedation in the Routinely Diagnostic Examination: Drug Induced Sleep Endoscopy,"Ospedale Monsignor R. Dimiccoli, Barletta",NA
NCT03807804,https://clinicaltrials.gov/show/NCT03807804,"An Open-label, Standard Therapy as a Controlled, Multicenter Phase 2 Study to Evaluate the Efficacy and Safety of HLCM051(MultiStem) in Patients With Acute Respiratory Distress Syndrome (ARDS) Caused by Pneumonitis",Healios K.K.,NA
NCT03142191,https://clinicaltrials.gov/show/NCT03142191,"A Phase 2, 24-Week, Randomized, Double-blind, Placebo-controlled, Multicenter Study, With an 80-Week Active Treatment Extension, to Evaluate the Efficacy and Safety of CC-90001 in Subjects With Idiopathic Pulmonary Fibrosis",Celgene,NA
NCT02951130,https://clinicaltrials.gov/show/NCT02951130,Milrinone in Congenital Diaphragmatic Hernia,NICHD Neonatal Research Network,NA
NCT02746211,https://clinicaltrials.gov/show/NCT02746211,An Open Label Dose-Ranging Influenza Challenge Study in Healthy Volunteers,Hvivo,NA
NCT03860233,https://clinicaltrials.gov/show/NCT03860233,Benefits of Oxytocin in OSA Patients Using CPAP,Vivek Jain,NA
NCT03592277,https://clinicaltrials.gov/show/NCT03592277,Vitamins B1 and C to Improve Outcomes in Patients With Severe Sepsis,Saint Francis Care,NA
