TrialID,url,Scientific_title,Conditions,study_arm,start_date,control_arm,randomisation,blinding,prospective,source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,multicentre,primary_purpose,sponsor_type,sample_size,vaccine,conventional,traditional,subject_blind,caregiver_blind,investigator_blind,outcome_blind,analyst_blind,Study_design,Bridging_flag,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor,Interventions
EUCTR2017-004026-15-PL,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004026-15,"A Phase 3, Randomized, Open-Label, Multicenter Study to Evaluate the Safety (Compared to Iron Sucrose), Efficacy and Pharmacokinetics of Ferumoxytol for the Treatment of Iron Deficiency Anemia (IDA) in Pediatric Subjects with Chronic Kidney Disease",Iron Deficiency Anemia (IDA) in Pediatric Subjects with Chronic Kidney Disease (CKD) <br>MedDRA version: 20.0Level: LLTClassification code 10022974Term: Iron deficiency anemiaSystem Organ Class: 100000004851;Therapeutic area: Diseases [C] - Nutritional and Metabolic Diseases [C18],main,2019-07-11T00:00:00Z,Yes,Yes,No,Yes,EUCTR,Phase 3,No,Yes,Yes,No,Yes,No,Yes,Treatment,Industry,129,No,Yes,No,No,No,No,No,No,"Controlled: yesRandomised: yesOpen: yesSingle blind: noDouble blind: noParallel group: yesCross over: noOther: noIf controlled, specify comparator, Other Medicinial Product: yesPlacebo: noOther: noNumber of treatment arms in the trial: 2",EUCTR2017-004026-15-LT,FALSE,2019-03-20T00:00:00Z,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): noTherapeutic confirmatory - (Phase III): yesTherapeutic use (Phase IV): no,"Research study to evaluate the experimental drug ferumoxytol, to see how well it works for children with chronic kidney disease (CKD) and iron deficiency anemia (IDA) or who are at risk of developing IDA, and to see how safe it is compared to another marketed iron product – iron sucrose.",United States;Hungary;Mexico;Poland;Lithuania,"AMAG Pharmaceuticals, Inc.",NA
EUCTR2017-004054-41-BE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004054-41,"CareRA2020: Effectiveness of a combination of Methotrexate and a step down glucocorticoid regimen (COBRA-Slim) for remission induction in patients with early Rheumatoid Arthritis (RA), with or without fast access to 24 weeks of Tumor Necrosis Factor (TNF) blockade in insufficient responders, a randomized, multicenter, pragmatic trial. - CareRA2020","early active Rheumatoid Arthritis, previously untreated with DMARDs <br>                MedDRA version: 20.0                Level: PT                Classification code 10039073                Term: Rheumatoid arthritis                System Organ Class: 10028395 - Musculoskeletal and connective tissue disorders            ;Therapeutic area: Diseases [C] - Musculoskeletal Diseases [C05]",im,2018-05-07T00:00:00Z,Yes,Yes,No,Yes,EUCTR,Phase 4,No,No,No,No,Yes,No,Yes,Treatment,Non industry,440,No,Yes,No,No,No,No,No,No,"<br>                Controlled: yes<br>                Randomised: yes<br>                Open: yes<br>                Single blind: no<br>                Double blind: no<br>                Parallel group: no<br>                Cross over: no<br>                Other: yes<br>                Other trial design description: prospective study to evaluate the role of a biological in a remission induction scheme<br>                If controlled, specify comparator, Other Medicinial Product: yes<br>                Placebo: no<br>                Other: no<br>                Number of treatment arms in the trial: 2<br>",NCT03649061,FALSE,2018-03-15T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): no                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): yes,COBRA-Slim with or without fast access to TNF blockade for remission induction in early RA,Belgium,University Hospitals Leuven,<br>                Product Name: etanercept<br>                Pharmaceutical Form: Solution for injection in pre-filled pen<br>                INN or Proposed INN: ETANERCEPT<br>                CAS Number: 185243-69-0<br>                Concentration unit: mg milligram(s)<br>                Concentration type: equal<br>                Concentration number: 50-<br><br>                Pharmaceutical Form: Coated tablet<br>                INN or Proposed INN: LEFLUNOMIDE<br>                CAS Number: 75706-12-6<br>                Concentration unit: mg milligram(s)<br>                Concentration type: range<br>                Concentration number: 10-20<br><br>
EUCTR2017-004318-25-NL,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004318-25,Early high-dose vitamin C in post-cardiac arrest syndrome. - Vitamin C post cardiac arrest,"Patients admitted to the Intensive Care after out-of-hospital cardiac arrest with return of spontaneous circulation, ventricular fibrillation or ventricular tachycardia as first registered cardiac rhythm and EMV-score =8 <br>                MedDRA version: 20.0                Level: PT                Classification code 10078202                Term: Post cardiac arrest syndrome                System Organ Class: 10029205 - Nervous system disorders            ;Therapeutic area: Diseases [C] - Cardiovascular Diseases [C14]",im,2019-04-16T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 2,No,No,No,No,Yes,No,Yes,Prevention,Non industry,540,No,No,Yes,NA,NA,NA,NA,NA,"<br>                Controlled: yes<br>                Randomised: yes<br>                Open: no<br>                Single blind: no<br>                Double blind: yes<br>                Parallel group: no<br>                Cross over: no<br>                Other: no<br>                If controlled, specify comparator, Other Medicinial Product: no<br>                Placebo: yes<br>                Other: yes<br>                Other specify the comparator: Other dosage<br>                Number of treatment arms in the trial: 3<br>",FALSE,FALSE,2018-06-08T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): yes                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): no,Early high-dose vitamin C to prevent and/or treat organ dysfunction after cardioplumonary resusciation.,Netherlands,VU University Medical Center,<br>                Product Name: Ascorbic acid 1.5 gr/50 ml and 5 gr/50 ml<br>                Product Code: 1.5 gr and 5 gr<br>                Pharmaceutical Form: Solution for injection/infusion<br>                INN or Proposed INN: Ascorbic acid<br>                Other descriptive name: ASCORBIC ACID PH EUR<br>                Concentration unit: mg/ml milligram(s)/millilitre<br>                Concentration type: range<br>                Concentration number: 30-100<br>                Pharmaceutical form of the placebo: Infusion<br>                Route of administration of the placebo: Intravenous use<br>                Pharmaceutical form of the placebo: Injection<br>                Route of administration of the placebo: Intravenous use<br><br>
EUCTR2017-004339-35-FR,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004339-35,A Randomized double-blind placebo-controlled multicenter Phase 3 study of efficacy and safety of AR-301 as adjunct therapy to antibiotics in the treatment of Ventilator-Associated Pneumonia (VAP) caused by S. aureus,Staphylococcus aureus pneumonia <br>                MedDRA version: 20.0                Level: PT                Classification code 10035734                Term: Pneumonia staphylococcal                System Organ Class: 10021881 - Infections and infestations            ;Therapeutic area: Diseases [C] - Respiratory Tract Diseases [C08],im,2019-07-26T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 3,No,Yes,Yes,Yes,Yes,No,Yes,Treatment,Industry,240,No,Yes,No,NA,NA,NA,NA,NA,"<br>                Controlled: yes<br>                Randomised: yes<br>                Open: no<br>                Single blind: no<br>                Double blind: yes<br>                Parallel group: yes<br>                Cross over: no<br>                Other: no<br>                If controlled, specify comparator, Other Medicinial Product: no<br>                Placebo: yes<br>                Other: no<br>                Number of treatment arms in the trial: 2<br>",FALSE,FALSE,2019-04-29T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): no                Therapeutic confirmatory - (Phase III): yes                Therapeutic use (Phase IV): no,This is an international study to compare the study drug AR-301 with antibiotics versus antibiotics alone  in ventilated patients who have a pneumonia caused by S. aureus.,"Serbia;United States;Belarus;Estonia;Ukraine;Turkey;Russian Federation;Israel;France;Czech Republic;Mexico;Belgium;Brazil;Georgia;Latvia;China;Korea, Republic of","Aridis Pharmaceuticals, Inc.","<br>                Product Name: tosatoxumab<br>                Product Code: AR-301, KBSA301<br>                Pharmaceutical Form: Solution for infusion<br>                INN or Proposed INN: tosatoxumab<br>                Current Sponsor code: AR-301<br>                Other descriptive name: KBSA301<br>                Concentration unit: mg/ml milligram(s)/millilitre<br>                Concentration type: equal<br>                Concentration number: 25-<br>                Pharmaceutical form of the placebo: Solution for infusion<br>                Route of administration of the placebo: Intravenous use<br><br>"
EUCTR2017-004376-64-SE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004376-64,"A Phase I/II, randomised, multicentre, placebo-controlled, partially-blinded, parallel-group study to assess the safety, tolerability and immune response following vaccination with ImmunoseTM FLU in older adults (age 50 to 75 years)",Influenza <br>                MedDRA version: 20.0                Level: PT                Classification code 10022000                Term: Influenza                System Organ Class: 10021881 - Infections and infestations            ;Therapeutic area: Diseases [C] - Virus Diseases [C02],im,2018-01-10T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 2,No,No,No,No,Yes,No,Yes,Prevention,Industry,300,Yes,No,No,NA,NA,NA,NA,NA,"Controlled: yes                Randomised: yes                Open: no                Single blind: no                Double blind: no                Parallel group: yes                Cross over: no                Other: yes                Other trial design description: Partially-blinded; Group 1, 2, 4 and 5. Single blinded; Group 3. Unblinded; Group 6 and 7.                If controlled, specify comparator, Other Medicinial Product: yes                Placebo: yes                Other: no                Number of treatment arms in the trial: 7",FALSE,FALSE,2017-11-09T00:00:00Z,Human pharmacology (Phase I): yes                Therapeutic exploratory (Phase II): yes                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): no,"A Phase I/II, randomised, multicentre, placebo-controlled, partially-blinded, parallel-group study to assess the safety, tolerability and immune response following vaccination with ImmunoseTM FLU in older adults (age 50 to 75 years)",Sweden,Eurocine Vaccines AB,"<br>                Product Name: Immunose‚Ñ¢ FLU 1%; quadrivalent inactivated split influenza antigen 30 ¬µg HA/strain, 1% Endocine<br>                Pharmaceutical Form: Nasal drops<br>                Pharmaceutical form of the placebo: Nasal drops<br>                Route of administration of the placebo: Nasal use<br><br>                Product Name: Immunose‚Ñ¢ FLU 2%; quadrivalent inactivated split influenza antigen 30 ¬µg HA/strain, 2% Endocine<br>                Pharmaceutical Form: Nasal drops<br>                Pharmaceutical form of the placebo: Nasal drops<br>                Route of administration of the placebo: Nasal use<br><br>                Product Name: Immunose‚Ñ¢ FLU 2%, 300 ¬µl; quadrivalent inactivated split influenza antigen 30 ¬µg HA/strain, 2% Endoc<br>                Pharmaceutical Form: Nasal drops<br>                Pharmaceutical form of the placebo: Nasal drops<br>                Route of administration of the placebo: Nasal use<br><br>                Product Name: Influenza antigen; quadrivalent inactivated split, 30 ¬µg HA/strain<br>                Pharmaceutical Form: Nasal drops<br>                Pharmaceutical form of the placebo: Nasal drops<br>                Route of administration of the placebo: Nasal use<br><br>                Product Name: Influsplit Tetra and ImmunoseTM FLU 2%<br>                Pharmaceutical Form: Injection<br><br>                Trade Name: Influsplit Tetra<br>                Product Name: Influsplit Tetra; quadrivalent inactivated split influenza antigen 15 ¬µg HA/strain<br>                Pharmaceutical Form: Injection<br><br>"
EUCTR2017-004471-31-AT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004471-31,A Phase 3 Multicenter Study to Evaluate the Long-Term Safety and Efficacy of Baricitinib in Patients from 1 Year to <18 Years of Age with Juvenile Idiopathic Arthritis (JIA),Juvenile Idiopathic Arthritis <br>                MedDRA version: 20.0                Level: PT                Classification code 10059176                Term: Juvenile idiopathic arthritis                System Organ Class: 10028395 - Musculoskeletal and connective tissue disorders            ;Therapeutic area: Diseases [C] - Musculoskeletal Diseases [C05],main,NA,No,Not applicable,No,Yes,EUCTR,Phase 3,No,No,Yes,Yes,Yes,Yes,Yes,Treatment,Industry,236,No,Yes,No,No,No,No,No,No,"<br>                Controlled: no<br>                Randomised: no<br>                Open: yes<br>                Single blind: no<br>                Double blind: no<br>                Parallel group: no<br>                Cross over: no<br>                Other: no<br>                If controlled, specify comparator, Other Medicinial Product: no<br>                Placebo: no<br>                Other: no<br>",NCT03773965,FALSE,2019-05-08T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): no                Therapeutic confirmatory - (Phase III): yes                Therapeutic use (Phase IV): no,A study of Baricitinib in children with Juvenile Idiopathic Arthritis (JIA),Spain;Turkey;Austria;Russian Federation;Israel;Italy;United Kingdom;India;France;Czech Republic;Mexico;Argentina;Poland;Belgium;Brazil;Australia;Denmark;Germany;Japan;China,Eli Lilly and Company,<br>                Trade Name: Olumiant<br>                Product Name: Olumiant<br>                Product Code: LY3009104<br>                Pharmaceutical Form: Film-coated tablet<br>                INN or Proposed INN: BARICITINIB<br>                Other descriptive name: BARICITINIB<br>                Concentration unit: mg milligram(s)<br>                Concentration type: equal<br>                Concentration number: 4-<br><br>                Trade Name: Olumiant<br>                Product Name: Olumiant<br>                Product Code: LY3009104<br>                Pharmaceutical Form: Film-coated tablet<br>                INN or Proposed INN: BARICITINIB<br>                Other descriptive name: BARICITINIB<br>                Concentration unit: mg milligram(s)<br>                Concentration type: equal<br>                Concentration number: 2-<br><br>                Product Name: Olumiant<br>                Product Code: LY3009104<br>                Pharmaceutical Form: Film-coated tablet<br>                INN or Proposed INN: BARICITINIB<br>                Other descriptive name: BARICITINIB<br>                Concentration unit: mg milligram(s)<br>                Concentration type: equal<br>                Concentration number: 1-<br><br>                Product Name: Olumiant<br>                Product Code: LY3009104<br>                Pharmaceutical Form: Suspension for oral suspension<br>                INN or Proposed INN: BARICITINIB<br>                Other descriptive name: BARICITINIB<br>                Concentration unit: mg/ml milligram(s)/millilitre<br>                Concentration type: equal<br>                Concentration number: 2-<br><br>
EUCTR2017-004767-13-SE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004767-13,"A randomized, placebo-controlled, multiple dose, double blind, phase IIb, dose guiding trial to explore safety and tolerability of four weeks treatment with sulthiame in patients with moderate to severe obstructive sleep apnea",Moderate to severe obstructive sleep apnea <br>MedDRA version: 20.0Level: LLTClassification code 10055577Term: Obstructive sleep apnea syndromeSystem Organ Class: 100000004855;Therapeutic area: Diseases [C] - Nervous System Diseases [C10],im,2018-02-21T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 2,No,No,No,No,Yes,No,No,Treatment,Industry,96,No,Yes,No,NA,NA,NA,NA,NA,"Controlled: yes<br>Randomised: yes<br>Open: no<br>Single blind: no<br>Double blind: yes<br>Parallel group: no<br>Cross over: no<br>Other: yes<br>Other trial design description: dose escalation<br>If controlled, specify comparator, Other Medicinial Product: no<br>Placebo: yes<br>Other: no<br>Number of treatment arms in the trial: 2<br>",FALSE,FALSE,2017-12-28T00:00:00Z,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): yesTherapeutic confirmatory - (Phase III): noTherapeutic use (Phase IV): no,"A placebo-controlled, multiple dose, phase IIb, dose guiding trial to explore safety and tolerability of four weeks treatment with sulthiame in patients with moderate to severe obstructive sleep apnea",Sweden,Desitin Arzneimittel GmbH,<br>Trade Name: Ospolot 50 mg film-coated tablet<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: SULTIAME<br>CAS Number: 61-56-3<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 50-<br>Pharmaceutical form of the placebo: Film-coated tablet<br>Route of administration of the placebo: Oral use<br><br>Trade Name: Ospolot 200 mg film-coated tablet<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: SULTIAME<br>CAS Number: 61-56-3<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 200-<br>Pharmaceutical form of the placebo: Film-coated tablet<br>Route of administration of the placebo: Oral use<br><br>
EUCTR2017-004823-66-NL,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004823-66,"Early-life stress, the endocannabinoid system, and fear memory extinction",healthy volunteers <br>                MedDRA version: 20.0                Level: LLT                Classification code 10036876                Term: Prolonged posttraumatic stress disorder                System Organ Class: 100000004873            ;Therapeutic area: Psychiatry and Psychology [F] - Mental Disorders [F03],main,2019-04-17T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 2,No,No,No,No,Yes,No,No,Other,Non industry,48,No,Yes,No,NA,NA,NA,NA,NA,"<br>                Controlled: yes<br>                Randomised: yes<br>                Open: no<br>                Single blind: no<br>                Double blind: yes<br>                Parallel group: no<br>                Cross over: yes<br>                Other: no<br>                If controlled, specify comparator, Other Medicinial Product: no<br>                Placebo: yes<br>                Other: yes<br>                Other specify the comparator: hydrocortisone<br>                Number of treatment arms in the trial: 3<br>",FALSE,FALSE,2019-03-19T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): yes                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): no,"Early-life stress, the endocannabinoid system, and fear memory extinction",Netherlands,Radboudumc,<br>                Product Name: Namisol<br>                Product Code: ECP002A<br>                Pharmaceutical Form: Tablet<br>                INN or Proposed INN: Namisol<br>                CAS Number: 1972-08-03<br>                Other descriptive name: DELTA-9-TETRAHYDROCANNABINOL<br>                Concentration unit: mg milligram(s)<br>                Concentration type: equal<br>                Concentration number: 7.5-<br>                Pharmaceutical form of the placebo: Tablet<br>                Route of administration of the placebo: Oral use<br><br>                Trade Name: Hydrocortison CF<br>                Product Name: Hydrocortison CF<br>                Product Code: RVG 50730<br>                Pharmaceutical Form: Tablet<br>                INN or Proposed INN: Hydrocortison CF<br>                Other descriptive name: HYDROCORTISONE<br>                Concentration unit: mg milligram(s)<br>                Concentration type: equal<br>                Concentration number: 20-<br>                Pharmaceutical form of the placebo: Tablet<br>                Route of administration of the placebo: Oral use<br><br>
EUCTR2017-004971-30-BE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2017-004971-30,"A Phase 2a Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Safety, Immunogenicity, and Efficacy of Bris10 M2SR (H3N2 A/Brisbane/10/2007) Vaccine Administered as a Single Intranasal Dose (Versus Placebo) in Healthy Adult Volunteers who are Subsequently Challenged with a Live, Antigenically Different Wild-type Influenza Type A Virus (A/Belgium/4217/2015 H3N2)","Prophylactic H3N2(A/Brisbane/10/2007) monovalent influenza vaccine, Bris10 M2SR, for protection against influenza disease caused by seasonal influenza A viruses. <br>                MedDRA version: 20.0                Level: HLT                Classification code 10022005                Term: Influenza viral infections                System Organ Class: 100000004862            ;Therapeutic area: Diseases [C] - Virus Diseases [C02]",im,2018-04-27T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 2,No,No,No,No,Yes,No,No,Prevention,Industry,120,Yes,No,No,NA,NA,NA,NA,NA,"<br>                Controlled: yes<br>                Randomised: yes<br>                Open: no<br>                Single blind: no<br>                Double blind: yes<br>                Parallel group: no<br>                Cross over: no<br>                Other: no<br>                If controlled, specify comparator, Other Medicinial Product: no<br>                Placebo: yes<br>                Other: no<br>                Number of treatment arms in the trial: 2<br>",FALSE,FALSE,2018-02-28T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): yes                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): no,na,Belgium,"FluGen, Inc","<br>                Product Name: Bris10 M2SR Vaccine<br>                Pharmaceutical Form: Nasal spray, solution<br>                INN or Proposed INN: na<br>                CAS Number: na<br>                Current Sponsor code: Bris10 M2SR Vaccine<br>                Pharmaceutical form of the placebo: Solution for injection<br>                Route of administration of the placebo: Intranasal use (Noncurrent)<br><br>"
EUCTR2018-000005-23-NL,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2018-000005-23,Ghrelin treatment of comatose patients after cardiac arrest:                 A clinical trial to promote cerebral recovery - Ghrelin in coma,Brain damage after cardiac arrest;Therapeutic area: Diseases [C] - Nervous System Diseases [C10],im,2018-12-12T00:00:00Z,Yes,Yes,Yes,Yes,EUCTR,Phase 2,No,No,No,No,Yes,No,Yes,Treatment,Non industry,208,No,Yes,No,NA,NA,NA,NA,NA,"Controlled: yes                Randomised: yes                Open: no                Single blind: no                Double blind: yes                Parallel group: no                Cross over: no                Other: no                If controlled, specify comparator, Other Medicinial Product: no                Placebo: yes                Other: no                Number of treatment arms in the trial: 2",FALSE,FALSE,2018-11-19T00:00:00Z,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): yes                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): no,Ghrelin treatment of comatose patients after cardiac arrest:                 A clinical trial to promote cerebral recovery,Netherlands,University of Twente,NA
EUCTR2018-000040-26-GB,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2018-000040-26,"A Phase 3 Randomized Clinical Trial of Nivolumab alone, Nivolumab inCombination with Ipilimumab, or an Investigator's Choice Chemotherapy inParticipants with Microsatellite Instability High (MSI-H) or MismatchRepair Deficient (dMMR) Metastatic Colorectal Cancer - CheckMate 8HW: CHECKpoint pathway and nivoluMAb clinical Trial Evaluation 8HW",Microsatellite Instability High (MSI-H) or Mismatch Repair DeficientMetastatic Colorectal Cancer (dMMR) <br>MedDRA version: 21.0Level: LLTClassification code 10052362Term: Metastatic colorectal cancerSystem Organ Class: 100000004864;Therapeutic area: Diseases [C] - Cancer [C04],main,2019-10-29T00:00:00Z,Yes,Yes,No,Yes,EUCTR,Phase 3,No,Yes,Yes,Yes,Yes,Yes,Yes,Treatment,Industry,974,No,Yes,No,No,No,No,No,No,"Controlled: yes<br>Randomised: yes<br>Open: yes<br>Single blind: no<br>Double blind: no<br>Parallel group: no<br>Cross over: no<br>Other: no<br>If controlled, specify comparator, Other Medicinial Product: yes<br>Placebo: no<br>Other: no<br>Number of treatment arms in the trial: 3<br>",NCT04008030,FALSE,2019-11-01T00:00:00Z,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): noTherapeutic confirmatory - (Phase III): yesTherapeutic use (Phase IV): no,Nivo versus Nivo/Ipi or versus other chemotherapies to treat colorectal cancer,Ireland;Austria;Chile;Italy;United Kingdom;France;Czech Republic;Canada;Argentina;Poland;Belgium;Brazil;Romania;Australia;Denmark;Norway;Netherlands;Germany;Japan;China;United States;Spain,Bristol-Myers Squibb International Corporation,<br>Trade Name: Opdivo (100 mg/10 ml)<br>Product Name: NIVOLUMAB - 10mL vial- COMMERCIAL<br>Product Code: BMS-936558<br>Pharmaceutical Form: Concentrate for solution for infusion<br>INN or Proposed INN: NIVOLUMAB<br>CAS Number: 946414-94-4<br>Current Sponsor code: BMS-936558<br>Other descriptive name: BMS936558<br>Concentration unit: mg/ml milligram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 10-<br><br>Trade Name: Yervoy (200mg/40ml)<br>Pharmaceutical Form: Concentrate for solution for infusion<br>INN or Proposed INN: IPILIMUMAB<br>CAS Number: 477202-00-9<br>Current Sponsor code: BMS-734016<br>Other descriptive name: BMS734016<br>Concentration unit: mg/ml milligram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 5-<br><br>Trade Name: Opdivo (100 mg/10 ml)<br>Product Name: NIVOLUMAB - 4mL vial- COMMERCIAL<br>Product Code: BMS-936558<br>Pharmaceutical Form: Concentrate for solution for infusion<br>INN or Proposed INN: NIVOLUMAB<br>CAS Number: 946414-94-4<br>Current Sponsor code: BMS-936558<br>Other descriptive name: BMS936558<br>Concentration unit: mg/ml milligram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 10-<br><br>Trade Name: Oxaliplatin Bendalis 5mg/ml (100mg vial)<br>Product Name: Oxaliplatin<br>Pharmaceutical Form: Concentrate for solution for infusion<br>INN or Proposed INN: OXALIPLATIN<br>CAS Number: 61825-94-3<br>Concentration unit: mg/ml milligram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 5-<br><br>Trade Name: Oncofolic 50mg/ml (400mg vial)<br>Product Name: Folinic acid<br>Pharmaceutical Form: Solution for injection/infusion<br>INN or Proposed INN: Folinic Acid<br>Other descriptive name: FOLINIC ACID<br>Concentration unit: mg/ml milligram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 50-<br><br>Trade Name: Erbitux 5 mg/mL (500mg vial)<br>Product Code: L01XC06<br>Pharmaceutical Form: Solution for infusion<br>INN
EUCTR2018-000059-42-FR,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2018-000059-42,Comparison of short infusion versus prolonged infusion of ceftolozane-tazobactam among patients with ventilator associated-pneumonia to Pseudomonas aeruginosa in intensive care units - CEFTOREA,Ventilator associated-pneumonia to Pseudomonas aeruginosa in intensive care units <br>MedDRA version: 20.1Level: LLTClassification code 10052596Term: Nosocomial pneumoniaSystem Organ Class: 100000004862;Therapeutic area: Diseases [C] - Bacterial Infections and Mycoses [C01],im,2018-07-25T00:00:00Z,Yes,Yes,No,Yes,EUCTR,Phase 3,No,No,No,No,Yes,No,No,Treatment,Non industry,60,No,Yes,No,No,No,No,No,No,"Controlled: yesRandomised: yesOpen: yesSingle blind: noDouble blind: noParallel group: yesCross over: noOther: noIf controlled, specify comparator, Other Medicinial Product: noPlacebo: noOther: yesOther specify the comparator: ZERBAXA (same product) with a short infusion (1 hour infusion)Number of treatment arms in the trial: 2",FALSE,FALSE,2018-04-09T00:00:00Z,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): noTherapeutic confirmatory - (Phase III): yesTherapeutic use (Phase IV): no,Comparison of short infusion versus prolonged infusion of ceftolozane-tazobactam among patients with ventilator associated-pneumonia to Pseudomonas aeruginosa in intensive care units,France,CHU DE TOULOUSE,<br>Trade Name: ZERBAXA<br>Pharmaceutical Form: Concentrate for solution for infusion<br><br>
