TrialID,Date_registration_format,Date_enrollment_format,prospective,manual,study_arm,url,Scientific_title,Conditions,control_arm,randomisation,blinding,subject_blind,caregiver_blind,investigator_blind,outcome_blind,analyst_blind,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,multicentre,primary_purpose,sponsor_type,sample_size,vaccine,conventional,traditional,Bridging_flag,Study_design,Day_inferred,Phase,Public_title,Countries,Primary_sponsor,Interventions
IRCT20190410043236N1,08/07/2019,02/05/2016,No,Yes,main,http://en.irct.ir/trial/38837,Effect of vitamin D on improvement of left ventricular ejection fraction in patients with systolic heart failure,Condition 1: Systolic Heart failure. Condition 2: Systolic Heart failure. <br>IX Diseases of the circulatory system <br>Left ventricular failure;130-152;150.1,Yes,Yes,Yes,NA,NA,NA,NA,NA,IRCT,Phase 3,No,No,No,Yes,No,No,NA,Treatment,non_industry,80,NA,NA,Yes,FALSE,"Randomization: Randomized, Blinding: Double blinded, Placebo: Used, Assignment: Parallel, Purpose: Treatment, Randomization description: In present study, simple randomization method was used, Blinding description: This double-blind study was carried out and the cardiologist who do echocardiography patients, as well as those taking medication or placebo, are blind.",FALSE,02-Mar,Effect of vitamin D on improvement of left ventricular ejection fraction in patients with systolic heart failure,Iran (Islamic Republic of),Zanjan University of Medical Sciences,"Intervention 1: Intervention group: Intervention group: A 50000 unit capsule of vitamin D, manufactured by Abidi company, is given weekly and at 50,000 units for 8 weeks. It should be noted that patients will not be aware of the type of medicine. Patients are monitored for 2 months. Intervention 2: Placebo group: Appearance of 50,000 capsules of vitamin D, manufactured by Abidi company, is given weekly for 8 weeks. It should be noted that patients will not be aware of the type of medicine. Patients are monitored for 2 months."
IRCT20190525043702N1,05/06/2019,22/05/2019,No,Yes,main,http://en.irct.ir/trial/39866,Effect of antiseptic and antibiotic usage within the implant on the pro-inflammatory cytokines interleukin 1ß and interleukin 6 in gingival crevicular fluid for the contact of the implant and abutment,"Implantytis. <br>Unspecified complication of internal prosthetic device, implant and graft;T85.9",Yes,No,No,No,No,No,No,No,IRCT,Undefined,No,No,No,Yes,No,No,NA,Prevention,non_industry,24,NA,Yes,NA,FALSE,"Randomization: Not randomized, Blinding: Not blinded, Placebo: Not used, Assignment: Parallel, Purpose: Prevention.",FALSE,N/A,Effect of antiseptic and antibiotic usage within the implant in gingival crevicular fluid for the contact of the implant and abutment,Iran (Islamic Republic of),Tabriz University of Medical Sciences,Intervention 1: First Intervention group: The study is split mouth and each patient will have chlorohexidine 2% in first implant. Intervention 2: Second Intervention group: The study is split mouth and each patient will have tetracycline 3% in second implant. Intervention 3: Third Intervention group: The study is split mouth and each patient will have Saliva in third implant. Intervention 4: Control group: The study is split mouth and each patient will have dry environments in control implant.
ISRCTN88057279,14/05/2020,01/10/2020,Yes,No,covid,http://isrctn.com/ISRCTN88057279,PROphylaxis for paTiEnts at risk of COVID-19 infecTion (PROTECT),"COVID-19 (SARS-CoV-2 infection) in dialysis, vasculitis, and kidney transplant patients <br>Infections and Infestations",Yes,Yes,No,No,No,No,No,No,ISRCTN,Phase 3,No,No,No,No,Yes,No,Yes,Prevention,non_industry,500,NA,Yes,NA,FALSE,<br>                Open-label multi-centre randomized controlled trial<br>                (Prevention)<br>,FALSE,Phase II/III,Preventative treatment for patients at risk of COVID-19 infection (PROTECT),United Kingdom,Cambridge University Hospitals NHS Foundation Trust,"<br>                Patients will be randomised to receive either 1:1 oral hydroxychloroquine (HCQ) or standard care (no HCQ). Randomisation will be carried out using a validated bespoke automated randomisation system. Randomisation will be stratified by PROTECT sub-group, age and centre.<br><br>                Haemodialysis subgroup<br>                Dosing: 600 mg per week given as 200 mg three times per week after each haemodialysis session for 6 months<br><br>                Vasculitis and transplant subgroups<br>                Dosing: 800 mg for first 2 days followed by 400 mg once a week for 6 months<br><br>                Duration of follow up (all subgroups):<br>                Until the end of the trial, on average 6 months<br>"
JPRN-UMIN000035965,21/02/2019,20/02/2019,No,Yes,main,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000040963,NA,Glossodynia,No,Not applicable,NA,NA,NA,NA,NA,NA,JPRN,Unreported,No,No,No,Yes,No,No,NA,NA,non_industry,15,NA,NA,NA,FALSE,Single arm Non-randomized,FALSE,Not selected,The effects of Goreisan on pain perception in Glossodynia associate with dry mouth,Japan,Nagasaki University,Goreisan
NCT03160118,24/03/2017,27/03/2017,Yes,No,im,https://clinicaltrials.gov/show/NCT03160118,A Clinical Study of Biomarkers of Innate and Adaptive Immune Activation Associated With Symptoms and Immune Responses After Administration of a Single Dose of a Quadrivalent Inactivated Split Virus Influenza Vaccine to Healthy Young Adults.,Prevention of Influenza;Prevention of Influenza;Prevention of Influenza;Prevention of Influenza,No,Not applicable,No,No,No,No,No,No,CT.gov,Phase 4,No,No,No,No,Yes,No,NA,Other,non_industry,20,Yes,NA,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Other. Masking: None (Open Label).,FALSE,Phase 4,Study of Biomarkers of Immune Activation Associated With Symptoms and Immune Responses After Influenza Vaccination in Adults,Belgium;Belgium;Belgium;Belgium;Belgium,"University Hospital, Ghent","Drug: Seasonal,quadrivalent,influenza vaccine;Drug: Seasonal,quadrivalent,influenza vaccine;Drug: Seasonal,quadrivalent,influenza vaccine;Drug: Seasonal,quadrivalent,influenza vaccine"
NCT03208361,26/06/2017,05/11/2013,No,Yes,im,https://clinicaltrials.gov/show/NCT03208361,Efficacy of High Doses of Oral Penicillin V Versus High Doses of Oral Amoxicillin in the Treatment of Non-severe Community-acquired Pneumonia in Adults,Community-acquired Pneumonia (CAP);Community-acquired Pneumonia (CAP);Community-acquired Pneumonia (CAP);Community-acquired Pneumonia (CAP),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,CT.gov,Phase 3,No,No,No,No,Yes,No,NA,Treatment,non_industry,43,NA,NA,NA,EUCTR2012-003511-63-ES,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,Phase 3,Efficacy of High Doses Penicillin V Versus High Doses Amoxicillin in the Treatment of Non-severe Pneumonia.,Spain;Spain;Spain;Spain;Spain,Jordi Gol i Gurina Foundation,Drug: Penicillin V;Drug: Amoxicillin;Drug: Penicillin V;Drug: Amoxicillin;Drug: Penicillin V;Drug: Amoxicillin;Drug: Penicillin V;Drug: Amoxicillin
NCT03856164,21/02/2019,17/06/2019,Yes,No,main,https://clinicaltrials.gov/show/NCT03856164,Use of Tranexamic Acid for Prevention of Hemorrhage in Cesarean Delivery,Post Partum Hemorrhage;Fibrinolysis; Hemorrhage;Blood Loss,Yes,Yes,Yes,Yes,Yes,Yes,No,No,CT.gov,Phase 3,No,Yes,No,No,No,No,NA,Prevention,non_industry,110,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Prevention. Masking: Triple (Participant, Care Provider, Investigator).",FALSE,Phase 2/Phase 3,Tranexamic Acid for Prevention of Hemorrhage in Cesarean Delivery,United States,University of Texas Southwestern Medical Center,Drug: Tranexamic Acid;Drug: Placebo
NCT03926377,15/04/2019,01/04/2019,No,Unreported,main,https://clinicaltrials.gov/show/NCT03926377,Influence of Dermocorticoids on Bone Mineral Density in Patients With Bullous Pemphigoid,Osteoporosis;Bullous Pemphigoid,No,Not applicable,No,No,No,No,No,No,CT.gov,Phase 4,NA,NA,NA,NA,NA,NA,NA,Treatment,non_industry,50,NA,NA,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,TRUE,Phase 4,Influence of Dermocorticoids on Bone Mineral Density in Patients With Bullous Pemphigoid,NULL,"Centre Hospitalier Universitaire, Amiens",Procedure: bone densitometry;Biological: blood test;Procedure: radiographs of the thoracic and lumbar spine;Procedure: Clobetasol propionate
NCT04078386,18/07/2019,28/06/2019,No,Yes,main,https://clinicaltrials.gov/show/NCT04078386,"A Phase II Study of RC18, a Recombinant Human B Lymphocyte Stimulator Receptor:Immunoglobulin G( IgG ) Fc Fusion Protein for Injection for the Treatment of Subjects With Primary Sjögren's Syndrome",Primary Sjögren's Syndrome,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,CT.gov,Phase 2,No,No,No,Yes,No,No,NA,Treatment,NA,30,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,Phase 2,A Study of TACI-antibody Fusion Protein Injection (RC18) in Subjects With Primary Sjögren's Syndrome,China,RemeGen,Biological: Placebo;Biological: RC18 240 mg;Biological: RC18 160 mg
NCT04114747,23/09/2019,31/08/2020,Yes,No,main,https://clinicaltrials.gov/show/NCT04114747,"Impact of Continuous Renal Replacement Therapy on Renal Oxygenation, Blood Flow and Function",AKI;Continuous Renal Replacement Therapy;Dialysis;Intensive Care;Renal Blood Flow;Renal Failure;Blood Pressure,Yes,Yes,No,No,No,No,No,No,CT.gov,Undefined,No,No,No,No,Yes,No,NA,Prevention,non_industry,20,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Prevention. Masking: None (Open Label).,FALSE,N/A,Renal Physiology During Continuous Renal Replacement Therapy,Sweden,"Sahlgrenska University Hospital, Sweden",Other: Starting at high or low blood pressure
NCT04293887,15/02/2020,01/03/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04293887,"Randomized, Open, Blank Control Study on the Efficacy and Safety of Recombinant Human Interferon a1ß in the Treatment of Patients With New Type of Coronavirus Infection in Wuhan",COVID-19;Recombinant Human Interferon a1ß,Yes,Yes,No,No,No,No,No,No,CT.gov,Phase 1,Unreported,Unreported,Unreported,Unreported,Unreported,Unreported,NA,Treatment,non_industry,328,NA,Yes,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,Early Phase 1,Efficacy and Safety of IFN-a2ß in the Treatment of Novel Coronavirus Patients,NA,Tongji Hospital,Drug: Recombinant human interferon a1ß
NCT04342728,08/04/2020,08/04/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04342728,"Coronavirus Disease 2019- Using Ascorbic Acid and Zinc Supplementation (COVIDAtoZ) Research Study A Randomized, Open Label Single Center Study",COVID;Corona Virus Infection,Yes,Yes,No,No,No,No,No,No,CT.gov,Undefined,No,Yes,No,No,No,No,NA,Other,non_industry,520,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Single Group Assignment. Primary purpose: Supportive Care. Masking: None (Open Label).,FALSE,N/A,Coronavirus 2019 (COVID-19)- Using Ascorbic Acid and Zinc Supplementation,United States,The Cleveland Clinic,Dietary Supplement: Ascorbic Acid;Dietary Supplement: Zinc Gluconate;Dietary Supplement: Ascorbic Acid and Zinc Gluconate;Other: Standard of Care
NCT04345861,05/04/2020,11/04/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04345861,Randomized Trial Assessing Efficacy and Safety of Hydroxychloroquine Plus Azithromycin Versus Hydroxychloroquine for Hospitalized Adults With COVID-19 Pneumonia,"Coronavirus Infection;Pneumonia, Viral",Yes,Yes,Yes,Yes,No,Yes,No,No,CT.gov,Phase 3,No,No,No,No,Yes,No,NA,Treatment,non_industry,7,NA,Yes,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Double (Participant, Investigator).",FALSE,Phase 2/Phase 3,Hydroxychloroquine Plus Azithromycin Versus Hydroxychloroquine for COVID-19 Pneumonia (COVIDOC Trial),France,"University Hospital, Montpellier",Drug: Hydroxychloroquine + placebo;Drug: hydroxychloroquine + azithromycin
NCT04350580,08/04/2020,11/04/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04350580,Value of Early Treatment With Polyvalent Immunoglobulin in the Management of Acute Respiratory Distress Syndrome Associated With SARS-CoV-2 Infections,Acute Respiratory Distress Syndrome;COVID-19,Yes,Yes,Yes,Yes,Yes,No,No,No,CT.gov,Phase 3,No,No,No,No,Yes,No,NA,Treatment,non_industry,138,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Double (Participant, Care Provider).",FALSE,Phase 3,Polyvalent Immunoglobulin in COVID-19 Related ARds,France,Centre Hospitalier St Anne,Drug: Human immunoglobulin;Drug: Placebo
NCT04366908,25/04/2020,28/04/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04366908,Prevention and Treatment With Calcifediol of COVID-19 Coronavirus-induced Acute Respiratory Syndrome (SARS),SARS-CoV 2;COVID19;SARS (Severe Acute Respiratory Syndrome);Cytokine Release Syndrome;Cytokine Storm,Yes,Yes,No,No,No,No,No,No,CT.gov,Phase 2,Unreported,Unreported,Unreported,Unreported,Unreported,Unreported,NA,Treatment,non_industry,1008,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,Phase 2,Prevention and Treatment With Calcifediol of COVID-19 Induced Acute Respiratory Syndrome,NA,Maimónides Biomedical Research Institute of Córdoba,Drug: BAT + Calcifediol;Drug: BAT
NCT04460651,02/07/2020,14/08/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04460651,PREPARE-IT. Prevention of COVID19 With EPA in Healthcare Providers at Risk - Intervention Trial,COVID19,Yes,Yes,Yes,Yes,Yes,Yes,No,No,CT.gov,Phase 3,No,No,Yes,No,No,No,NA,Treatment,NA,2000,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Triple (Participant, Care Provider, Investigator).",FALSE,Phase 3,PREPARE-IT. Prevention of COVID19 With EPA in Healthcare Providers at Risk - Intervention Trial,Argentina,Estudios Clínicos Latino América,Drug: Icosapent ethyl (IPE);Drug: Placebo
NCT04470531,11/07/2020,12/07/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04470531,Role of Co-trimoxazole in Severe COVID-19 Patients,Covid19;Severe COVID-19 Patients,Yes,Yes,No,No,No,No,No,No,CT.gov,Phase 2,No,No,No,Yes,No,No,NA,Treatment,non_industry,94,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,Phase 2,Role of Co-trimoxazole in Severe COVID-19 Patients,Bangladesh,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",Drug: oral co-trimoxazole
NCT04494399,28/07/2020,29/07/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04494399,"An Open-label Randomised Controlled Trial on IFN Beta-1b and Ribavirin Combination, as Treatment for Covid-19 Infection",Covid19,Yes,Yes,No,No,No,No,No,No,CT.gov,Phase 2,No,No,No,Yes,No,No,NA,Treatment,non_industry,96,NA,Yes,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,Phase 2,IFN Beta-1b and Ribavirin for Covid-19,Hong Kong,The University of Hong Kong,Drug: Interferon beta-1b;Drug: Ribavirin
NCT04498936,14/04/2020,15/07/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04498936,"Efficacy of Adding Sofosbuvir/Ledipasvir Combination, or Nitazoxanide to the Standard of Care in Treatment of COVID-19: A Randomized Controlled Trial",COVID,Yes,Yes,No,No,No,No,No,No,CT.gov,Phase 4,Yes,No,No,No,No,No,NA,Treatment,non_industry,240,NA,Yes,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,Phase 4,Sofosbuvir/Ledipasvir and Nitazoxanide for Treatment of COVID-19,Egypt,Assiut University,Drug: Sofosbuvir and Ledipasvir;Drug: Nitazoxanide
NCT04563702,21/09/2020,21/09/2020,Yes,No,covid,https://clinicaltrials.gov/show/NCT04563702,"A Phase 1 Open-Label, Dose-Ranging Trial to Determine the Safety and Immunogenicity of an Adenoviral-Vector Based Vaccine (VXA-CoV2-1) Expressing a SARS-CoV-2 Antigen and dsRNA Adjuvant Administered Orally to Healthy Adult Volunteers",Covid19,NA,No,No,No,No,No,No,No,CT.gov,Phase 1,No,Yes,No,No,No,No,NA,Prevention,NA,35,NA,NA,NA,FALSE,Allocation: Non-Randomized. Intervention model: Sequential Assignment. Primary purpose: Prevention. Masking: None (Open Label).,FALSE,Phase 1,Safety and Immunogenicity Trial of an Oral SARS-CoV-2 Vaccine (VXA-CoV2-1) for Prevention of COVID-19 in Healthy Adults,United States,Vaxart,Biological: VXA-CoV2-1
